tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
19.07.2022 00:00:30;0;0;0;6289;0;39854;33564;33564;
19.07.2022 00:05:30;0;0;0;3823;0;40278;36454;36454;
19.07.2022 00:10:30;0;0;0;6261;0;40451;34189;34189;
19.07.2022 00:15:30;0;0;0;6079;0;40892;34812;34812;
19.07.2022 00:20:30;0;0;0;6376;0;39754;33377;33377;
19.07.2022 00:25:30;0;0;0;5802;0;40811;35008;35008;
19.07.2022 00:30:30;0;0;0;5883;0;39642;33758;33758;
19.07.2022 00:35:30;0;0;0;7516;0;39396;31880;31880;
19.07.2022 00:40:30;0;0;0;7736;0;39666;31929;31929;
19.07.2022 00:45:30;0;0;0;7746;0;40346;32599;32599;
19.07.2022 00:50:30;0;0;0;7624;0;39021;31397;31397;
19.07.2022 00:55:30;0;0;0;7874;0;40247;32372;32372;
19.07.2022 01:00:30;0;0;0;8454;0;39973;31518;31518;
19.07.2022 01:05:30;0;0;0;8779;0;41044;32264;32264;
19.07.2022 01:10:30;0;0;0;9808;0;40260;30451;30451;
19.07.2022 01:15:30;0;0;0;10110;0;40889;30779;30779;
19.07.2022 01:20:30;0;0;0;8967;0;40292;31323;31323;
19.07.2022 01:25:30;0;0;0;7999;0;39956;31957;31957;
19.07.2022 01:30:30;0;0;0;9388;0;39923;30534;30534;
19.07.2022 01:35:30;0;0;0;10144;0;41352;31207;31207;
19.07.2022 01:40:30;0;0;0;10117;0;40190;30073;30073;
19.07.2022 01:45:30;0;0;0;9899;0;40454;30554;30554;
19.07.2022 01:50:30;0;0;0;10711;0;40334;29622;29622;
19.07.2022 01:55:30;0;0;0;10264;0;41481;31216;31216;
19.07.2022 02:00:30;0;0;0;10773;0;39277;28503;28503;
19.07.2022 02:05:30;0;0;0;10593;0;40429;29836;29836;
19.07.2022 02:10:30;0;0;0;7763;0;39841;32077;32077;
19.07.2022 02:15:30;0;0;0;10743;0;39584;28840;28840;
19.07.2022 02:20:30;0;0;0;10882;0;40505;29621;29621;
19.07.2022 02:25:30;0;0;0;11228;0;39370;28140;28140;
19.07.2022 02:30:30;0;0;0;10943;0;40341;29397;29397;
19.07.2022 02:35:30;0;0;0;10889;0;40583;29692;29692;
19.07.2022 02:40:30;0;0;0;7810;0;40105;32294;32294;
19.07.2022 02:45:30;0;0;0;10700;0;38447;27746;27746;
19.07.2022 02:50:30;0;0;0;10219;0;40931;30711;30711;
19.07.2022 02:55:30;0;0;0;11235;0;40138;28902;28902;
19.07.2022 03:00:30;0;0;0;10967;0;39203;28236;28236;
19.07.2022 03:05:30;0;0;0;10026;0;39856;29829;29829;
19.07.2022 03:10:30;0;0;0;10269;0;40582;30311;30311;
19.07.2022 03:15:30;0;0;0;10908;0;39885;28976;28976;
19.07.2022 03:20:30;0;0;0;10510;0;39066;28555;28555;
19.07.2022 03:25:30;0;0;0;10001;0;40569;30568;30568;
