tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
07.09.2022 00:00:30;0;0;0;6244;0;37641;31397;31397;
07.09.2022 00:05:30;0;0;0;6377;0;36422;30044;30044;
07.09.2022 00:10:30;0;0;0;6442;0;35810;29366;29366;
07.09.2022 00:15:30;0;0;0;6544;0;36578;30033;30033;
07.09.2022 00:20:30;0;0;0;5768;0;36662;30894;30894;
07.09.2022 00:25:30;0;0;0;4890;0;35638;30747;30747;
07.09.2022 00:30:30;0;0;0;6734;0;35640;28905;28905;
07.09.2022 00:35:30;0;0;0;6644;0;35637;28993;28993;
07.09.2022 00:40:30;0;0;0;6690;0;35830;29139;29139;
07.09.2022 00:45:30;0;0;0;6357;0;36836;30478;30478;
07.09.2022 00:50:30;0;0;0;6452;0;36329;29877;29877;
07.09.2022 00:55:30;0;0;0;4639;0;34807;30166;30166;
07.09.2022 01:00:30;0;0;0;6517;0;36382;29864;29864;
07.09.2022 01:05:30;0;0;0;6023;0;36367;30343;30343;
07.09.2022 01:10:30;0;0;0;5458;0;34795;29336;29336;
07.09.2022 01:15:30;0;0;0;6477;0;36287;29809;29809;
07.09.2022 01:20:30;0;0;0;6673;0;34949;28274;28274;
07.09.2022 01:25:30;0;0;0;6436;0;36098;29661;29661;
07.09.2022 01:30:30;0;0;0;6850;0;35838;28987;28987;
07.09.2022 01:35:30;0;0;0;6222;0;36145;29922;29922;
07.09.2022 01:40:30;0;0;0;3946;0;35530;31583;31583;
07.09.2022 01:45:30;0;0;0;6481;0;36619;30137;30137;
07.09.2022 01:50:30;0;0;0;6477;0;36585;30108;30108;
07.09.2022 01:55:30;0;0;0;6926;0;35883;28955;28955;
07.09.2022 02:00:30;0;0;0;6504;0;34721;28216;28216;
07.09.2022 02:05:30;0;0;0;6633;0;36594;29960;29960;
07.09.2022 02:10:30;0;0;0;6869;0;36333;29463;29463;
07.09.2022 02:15:30;0;0;0;5766;0;35642;29876;29876;
07.09.2022 02:20:30;0;0;0;3791;0;35640;31848;31848;
07.09.2022 02:25:30;0;0;0;7004;0;35835;28830;28830;
07.09.2022 02:30:30;0;0;0;6743;0;36153;29410;29410;
07.09.2022 02:35:30;0;0;0;6625;0;35646;29020;29020;
07.09.2022 02:40:30;0;0;0;7396;0;34821;27425;27425;
07.09.2022 02:45:30;0;0;0;7236;0;36301;29064;29064;
07.09.2022 02:50:30;0;0;0;7498;0;36843;29344;29344;
07.09.2022 02:55:30;0;0;0;7560;0;36064;28503;28503;
07.09.2022 03:00:30;0;0;0;5949;0;36815;30865;30865;
07.09.2022 03:05:30;0;0;0;6281;0;36920;30638;30638;
07.09.2022 03:10:30;0;0;0;7755;0;36229;28473;28473;
07.09.2022 03:15:30;0;0;0;6885;0;36105;29219;29219;
07.09.2022 03:20:30;0;0;0;7200;0;36061;28860;28860;
07.09.2022 03:25:30;0;0;0;7619;0;35643;28022;28022;
07.09.2022 03:30:30;0;0;0;7506;0;35836;28329;28329;
07.09.2022 03:35:30;0;0;0;6180;0;35645;29464;29464;
07.09.2022 03:40:30;0;0;0;6181;0;35643;29462;29462;
07.09.2022 03:45:30;0;0;0;7460;0;34967;27506;27506;
07.09.2022 03:50:30;0;0;0;7251;0;34709;27457;27457;
07.09.2022 03:55:30;0;0;0;7193;0;35829;28634;28634;
07.09.2022 04:00:30;0;0;0;7447;0;36119;28671;28671;
07.09.2022 04:05:30;0;0;0;7458;0;36205;28747;28747;
07.09.2022 04:10:30;0;0;0;7288;0;34785;27495;27495;
07.09.2022 04:15:30;0;0;0;4295;0;35667;31371;31371;
07.09.2022 04:20:30;0;0;0;4533;0;36278;31744;31744;
07.09.2022 04:25:30;0;0;0;5264;0;35646;30381;30381;
07.09.2022 04:30:30;0;0;0;5479;0;36317;30837;30837;
07.09.2022 04:35:30;0;0;0;4790;0;36157;31366;31366;
07.09.2022 04:40:30;0;0;0;6410;0;35860;29449;29449;
07.09.2022 04:45:30;0;0;0;4971;0;35290;30318;30318;
07.09.2022 04:50:30;0;0;0;7349;0;36118;28769;28769;
07.09.2022 04:55:30;0;0;0;7087;0;36274;29186;29186;
07.09.2022 05:00:30;0;0;0;7439;0;36583;29144;29144;
07.09.2022 05:05:30;0;0;0;7666;0;35633;27966;27966;
07.09.2022 05:10:30;0;0;0;6969;0;36684;29714;29714;
07.09.2022 05:15:30;0;0;0;6383;0;36478;30094;30094;
07.09.2022 05:20:30;0;0;0;6821;0;36103;29281;29281;
07.09.2022 05:25:30;0;0;0;6746;0;36181;29434;29434;
07.09.2022 05:30:30;0;0;0;5769;0;35642;29873;29873;
07.09.2022 05:35:30;0;0;0;4265;0;34705;30439;30439;
07.09.2022 05:40:30;0;0;0;6294;0;35648;29353;29353;
07.09.2022 05:45:30;0;0;0;4630;0;36558;31928;31928;
07.09.2022 05:50:30;0;0;0;5509;0;35882;30372;30372;
07.09.2022 05:55:30;0;0;0;6697;0;36131;29433;29433;
07.09.2022 06:00:30;0;0;0;6799;0;36534;29734;29734;
07.09.2022 06:05:30;0;0;0;4850;0;36764;31913;31913;
07.09.2022 06:10:30;0;0;0;2091;0;36070;33978;33978;
07.09.2022 06:15:30;0;0;0;2522;0;36755;34232;34232;
07.09.2022 06:20:30;0;0;23343;2088;0;7828;6617;29082;
07.09.2022 06:25:30;0;0;30359;1110;0;102;0;29351;
07.09.2022 06:30:30;0;0;30299;505;0;53;14;29847;
07.09.2022 06:35:30;0;0;30368;0;0;23;23;30392;
07.09.2022 06:40:30;0;0;34846;0;0;0;0;34846;
07.09.2022 06:45:30;0;0;32639;0;0;0;0;32639;
07.09.2022 06:50:30;0;0;32859;0;0;0;0;32859;
07.09.2022 06:55:30;0;0;30014;0;388;0;388;30402;
07.09.2022 07:00:30;0;0;28349;0;1814;0;1814;30164;
07.09.2022 07:05:30;0;0;30263;0;2794;0;2794;33058;
07.09.2022 07:10:30;0;0;28046;0;3572;0;3572;31619;
07.09.2022 07:15:30;0;0;24996;0;4519;0;4519;29515;
07.09.2022 07:20:30;0;0;23951;0;5090;0;5090;29041;
07.09.2022 07:25:30;0;0;21949;0;5238;0;5238;27187;
07.09.2022 07:30:30;0;0;23265;0;5902;0;5902;29168;
07.09.2022 07:35:30;0;0;19682;0;6077;0;6077;25759;
07.09.2022 07:40:30;0;0;17280;0;7341;0;7341;24621;
07.09.2022 07:45:30;0;0;17870;0;7012;0;7012;24882;
07.09.2022 07:50:30;0;0;16817;0;8349;0;8349;25166;
07.09.2022 07:55:30;0;0;18546;0;7439;0;7439;25986;
07.09.2022 08:00:30;0;0;19130;0;11727;0;11727;30858;
07.09.2022 08:05:30;0;0;3777;0;22210;0;22210;25988;
07.09.2022 08:10:30;0;0;7751;0;16209;0;16209;23961;
07.09.2022 08:15:30;0;0;10127;0;16088;0;16088;26215;
