tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
12.03.2023 00:03:00;0;0;41722;0;0;0;0;41722;
12.03.2023 00:08:00;0;0;42805;0;0;0;0;42805;
12.03.2023 00:13:00;0;0;43639;0;0;0;0;43639;
12.03.2023 00:18:00;0;0;45955;0;0;0;0;45955;
12.03.2023 00:23:00;0;0;45085;0;0;0;0;45085;
12.03.2023 00:28:00;0;0;42175;0;0;0;0;42175;
12.03.2023 00:33:00;0;0;41327;0;0;0;0;41327;
12.03.2023 00:38:00;0;0;36813;0;0;0;0;36813;
12.03.2023 00:43:00;0;0;39486;0;0;0;0;39486;
12.03.2023 00:48:00;0;0;41721;0;0;0;0;41721;
12.03.2023 00:53:00;0;0;42380;0;0;0;0;42380;
12.03.2023 00:58:00;0;0;36691;0;0;0;0;36691;
12.03.2023 01:03:00;0;0;39231;0;0;0;0;39231;
12.03.2023 01:08:00;0;0;39421;0;0;0;0;39421;
12.03.2023 01:13:00;0;0;41573;0;0;0;0;41573;
12.03.2023 01:18:00;0;0;39376;0;0;0;0;39376;
12.03.2023 01:23:00;0;0;37657;0;0;0;0;37657;
12.03.2023 01:28:00;0;0;34907;0;0;0;0;34907;
12.03.2023 01:33:00;0;0;40512;0;0;0;0;40512;
12.03.2023 01:38:00;0;0;39300;0;0;0;0;39300;
12.03.2023 01:43:00;0;0;41409;0;0;0;0;41409;
12.03.2023 01:48:00;0;0;41537;0;0;0;0;41537;
12.03.2023 01:53:00;0;0;39693;0;0;0;0;39693;
12.03.2023 01:58:00;0;0;39823;0;0;0;0;39823;
12.03.2023 02:03:00;0;0;38763;0;0;0;0;38763;
12.03.2023 02:08:00;0;0;41310;0;0;0;0;41310;
12.03.2023 02:13:00;0;0;39993;0;0;0;0;39993;
12.03.2023 02:18:00;0;0;38993;0;0;0;0;38993;
12.03.2023 02:23:00;0;0;39905;0;0;0;0;39905;
12.03.2023 02:28:00;0;0;35804;0;0;0;0;35804;
12.03.2023 02:33:00;0;0;34692;0;0;0;0;34692;
12.03.2023 02:38:00;0;0;35244;0;0;0;0;35244;
12.03.2023 02:43:00;0;0;41172;0;0;0;0;41172;
12.03.2023 02:48:00;0;0;38003;0;0;0;0;38003;
12.03.2023 02:53:00;0;0;38632;0;0;0;0;38632;
12.03.2023 02:58:00;0;0;40615;0;0;0;0;40615;
12.03.2023 03:03:00;0;0;39418;0;0;0;0;39418;
12.03.2023 03:08:00;0;0;36327;0;0;0;0;36327;
12.03.2023 03:13:00;0;0;39545;0;0;0;0;39545;
12.03.2023 03:18:00;0;0;39022;0;0;0;0;39022;
12.03.2023 03:23:00;0;0;37880;0;0;0;0;37880;
12.03.2023 03:28:00;0;0;40723;0;0;0;0;40723;
12.03.2023 03:33:00;0;0;41786;0;0;0;0;41786;
12.03.2023 03:38:00;0;0;40936;0;0;0;0;40936;
12.03.2023 03:43:00;0;0;36486;0;0;0;0;36486;
12.03.2023 03:48:00;0;0;34596;0;0;0;0;34596;
12.03.2023 03:53:00;0;0;39946;0;0;0;0;39946;
12.03.2023 03:58:00;0;0;39875;0;0;0;0;39875;
12.03.2023 04:03:00;0;0;35798;0;0;0;0;35798;
12.03.2023 04:08:00;0;0;36256;0;0;0;0;36256;
12.03.2023 04:13:00;0;0;40196;0;0;0;0;40196;
12.03.2023 04:18:00;0;0;39555;0;0;0;0;39555;
12.03.2023 04:23:00;0;0;39226;0;0;0;0;39226;
12.03.2023 04:28:00;0;0;40010;0;0;0;0;40010;
12.03.2023 04:33:00;0;0;37863;0;0;0;0;37863;
12.03.2023 04:38:00;0;0;35871;0;0;0;0;35871;
12.03.2023 04:43:00;0;0;35134;0;0;0;0;35134;
12.03.2023 04:48:00;0;0;37590;0;0;0;0;37590;
12.03.2023 04:53:00;0;0;44552;0;0;0;0;44552;
12.03.2023 04:58:00;0;0;33938;0;0;0;0;33938;
12.03.2023 05:03:00;0;0;34991;0;0;0;0;34991;
12.03.2023 05:08:00;0;0;42039;0;0;0;0;42039;
12.03.2023 05:13:00;0;0;39675;0;0;0;0;39675;
12.03.2023 05:18:00;0;0;38010;0;0;0;0;38010;
