tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
15.03.2023 00:03:00;0;0;37972;0;0;0;0;37972;
15.03.2023 00:08:00;0;0;39316;0;0;0;0;39316;
15.03.2023 00:13:00;0;0;41402;0;0;0;0;41402;
15.03.2023 00:18:00;0;0;41466;0;0;0;0;41466;
15.03.2023 00:23:00;0;0;37468;0;0;0;0;37468;
15.03.2023 00:28:00;0;0;36230;0;0;0;0;36230;
15.03.2023 00:33:00;0;0;38358;0;0;0;0;38358;
15.03.2023 00:38:00;0;0;38365;0;0;0;0;38365;
15.03.2023 00:43:00;0;0;39994;0;0;0;0;39994;
15.03.2023 00:48:00;0;0;37197;0;0;0;0;37197;
15.03.2023 00:53:00;0;0;39832;0;0;0;0;39832;
15.03.2023 00:58:00;0;0;37389;0;0;0;0;37389;
15.03.2023 01:03:00;0;0;37960;0;0;0;0;37960;
15.03.2023 01:08:00;0;0;41187;0;0;0;0;41187;
15.03.2023 01:13:00;0;0;38781;0;0;0;0;38781;
15.03.2023 01:18:00;0;0;37817;0;0;0;0;37817;
15.03.2023 01:23:00;0;0;39141;0;0;0;0;39141;
15.03.2023 01:28:00;0;0;37094;0;0;0;0;37094;
15.03.2023 01:33:00;0;0;35736;0;0;0;0;35736;
15.03.2023 01:38:00;0;0;38268;0;0;0;0;38268;
15.03.2023 01:43:00;0;0;42300;0;0;0;0;42300;
15.03.2023 01:48:00;0;0;39919;0;0;0;0;39919;
15.03.2023 01:53:00;0;0;37375;0;0;0;0;37375;
15.03.2023 01:58:00;0;0;39947;0;0;0;0;39947;
15.03.2023 02:03:00;0;0;39452;0;0;0;0;39452;
15.03.2023 02:08:00;0;0;34913;0;0;0;0;34913;
15.03.2023 02:13:00;0;0;37948;0;0;0;0;37948;
15.03.2023 02:18:00;0;0;37597;0;0;0;0;37597;
15.03.2023 02:23:00;0;0;36061;0;0;0;0;36061;
15.03.2023 02:28:00;0;0;37760;0;0;0;0;37760;
15.03.2023 02:33:00;0;0;36182;0;0;0;0;36182;
15.03.2023 02:38:00;0;0;37787;0;0;0;0;37787;
15.03.2023 02:43:00;0;0;41522;0;0;0;0;41522;
15.03.2023 02:48:00;0;0;44250;0;0;0;0;44250;
15.03.2023 02:53:00;0;0;36712;0;0;0;0;36712;
15.03.2023 02:58:00;0;0;40585;0;0;0;0;40585;
15.03.2023 03:03:00;0;0;39720;0;0;0;0;39720;
15.03.2023 03:08:00;0;0;36541;0;0;0;0;36541;
15.03.2023 03:13:00;0;0;39831;0;0;0;0;39831;
15.03.2023 03:18:00;0;0;38677;0;0;0;0;38677;
15.03.2023 03:23:00;0;0;35287;0;0;0;0;35287;
15.03.2023 03:28:00;0;0;40135;0;0;0;0;40135;
15.03.2023 03:33:00;0;0;41237;0;0;0;0;41237;
15.03.2023 03:38:00;0;0;36747;0;0;0;0;36747;
15.03.2023 03:43:00;0;0;40941;0;0;0;0;40941;
15.03.2023 03:48:00;0;0;39467;0;0;0;0;39467;
15.03.2023 03:53:00;0;0;36615;0;0;0;0;36615;
15.03.2023 03:58:00;0;0;38396;0;0;0;0;38396;
15.03.2023 04:03:00;0;0;38591;0;0;0;0;38591;
15.03.2023 04:08:00;0;0;42388;0;0;0;0;42388;
15.03.2023 04:13:00;0;0;42599;0;0;0;0;42599;
15.03.2023 04:18:00;0;0;41854;0;0;0;0;41854;
15.03.2023 04:23:00;0;0;39654;0;0;0;0;39654;
15.03.2023 04:28:00;0;0;41654;0;0;0;0;41654;
15.03.2023 04:33:00;0;0;40243;0;0;0;0;40243;
15.03.2023 04:38:00;0;0;42905;0;0;0;0;42905;
15.03.2023 04:43:00;0;0;40079;0;0;0;0;40079;
15.03.2023 04:48:00;0;0;38871;0;0;0;0;38871;
15.03.2023 04:53:00;0;0;45470;0;0;0;0;45470;
15.03.2023 04:58:00;0;0;41620;0;0;0;0;41620;
15.03.2023 05:03:00;0;0;42872;0;0;0;0;42872;
15.03.2023 05:08:00;0;0;45160;0;0;0;0;45160;
15.03.2023 05:13:00;0;0;42040;0;0;0;0;42040;
15.03.2023 05:18:00;0;0;38859;0;0;0;0;38859;
15.03.2023 05:23:00;0;0;39216;0;0;0;0;39216;
15.03.2023 05:28:00;0;0;38003;0;0;0;0;38003;
15.03.2023 05:33:00;0;0;44726;0;0;0;0;44726;
15.03.2023 05:38:00;0;0;45873;0;0;0;0;45873;
15.03.2023 05:43:00;0;0;42990;0;0;0;0;42990;
15.03.2023 05:48:00;0;0;42989;0;0;0;0;42989;
15.03.2023 05:53:00;0;0;39597;0;0;0;0;39597;
15.03.2023 05:58:00;0;0;42711;0;0;0;0;42711;
15.03.2023 06:03:00;0;0;42062;0;0;0;0;42062;
15.03.2023 06:08:00;0;0;43614;0;0;0;0;43614;
15.03.2023 06:13:00;0;0;50933;0;0;0;0;50933;
15.03.2023 06:18:00;0;0;52876;0;0;0;0;52876;
15.03.2023 06:23:00;0;0;43769;0;0;0;0;43769;
15.03.2023 06:28:00;0;81;41732;0;0;0;0;41732;
15.03.2023 06:33:00;106;313;40979;0;0;0;0;40979;
15.03.2023 06:38:00;445;669;44323;0;74;0;74;44398;
15.03.2023 06:43:00;1025;1135;44202;0;847;0;847;45049;
15.03.2023 06:48:00;1634;1627;42030;0;1511;0;1511;43541;
15.03.2023 06:53:00;2354;2163;41996;0;2225;0;2225;44222;
15.03.2023 06:58:00;3017;2703;41303;0;2900;0;2900;44204;
15.03.2023 07:03:00;3857;3352;39725;0;3701;0;3701;43427;
15.03.2023 07:08:00;4873;4198;31659;0;4700;0;4700;36360;
15.03.2023 07:13:00;6901;5853;24395;0;6656;0;6656;31052;
15.03.2023 07:18:00;9629;8105;25685;0;9435;0;9435;35120;
15.03.2023 07:23:00;12386;10436;26157;0;12185;0;12185;38342;
15.03.2023 07:28:00;15625;13051;22881;0;15354;0;15354;38236;
15.03.2023 07:33:00;19126;16018;22125;0;19229;0;19229;41355;
15.03.2023 07:38:00;22920;19281;15423;0;23837;0;23837;39261;
15.03.2023 07:43:00;26226;22042;13896;0;27201;0;27201;41097;
15.03.2023 07:48:00;29289;24604;12895;0;29926;0;29926;42822;
15.03.2023 07:53:00;32230;27054;8951;0;36586;0;36586;45537;
15.03.2023 07:58:00;34784;29196;7029;0;36444;0;36444;43474;
15.03.2023 08:03:00;37457;31735;2853;0;38008;0;38008;40862;
15.03.2023 08:08:00;40669;34573;1860;0;41046;0;41046;42908;
15.03.2023 08:13:00;43811;37179;1030;6053;43519;0;37464;38496;
15.03.2023 08:18:00;47490;40248;374;8451;48038;0;39586;39960;
15.03.2023 08:23:00;51196;43338;0;10895;53070;0;42174;42174;
15.03.2023 08:28:00;54904;46413;0;16976;65885;0;48908;48908;
15.03.2023 08:33:00;58580;49472;0;21720;62680;0;40959;40959;
15.03.2023 08:38:00;62167;52469;0;25131;63837;0;38706;38706;
15.03.2023 08:43:00;65757;55456;0;25334;69508;0;44173;44173;
15.03.2023 08:48:00;69354;58448;0;27046;71935;0;44887;44887;
15.03.2023 08:53:00;72782;61396;0;29201;73279;0;44077;44077;
15.03.2023 08:58:00;75849;64028;0;31953;76794;0;44840;44840;
15.03.2023 09:03:00;79029;66666;0;35267;81520;0;46252;46252;
15.03.2023 09:08:00;82258;69312;0;30374;82505;0;52130;52130;
15.03.2023 09:13:00;85544;72056;0;38887;84856;0;45967;45967;
15.03.2023 09:18:00;88613;74632;0;39951;88264;0;48312;48312;
15.03.2023 09:23:00;91885;77368;0;38863;89408;0;50543;50543;
15.03.2023 09:28:00;94911;79825;0;45708;92145;0;46436;46436;
15.03.2023 09:33:00;98635;82891;0;50093;99279;0;49185;49185;
15.03.2023 09:38:00;102534;86106;0;53855;101897;0;48041;48041;
15.03.2023 09:43:00;108675;91238;0;58056;108471;0;50414;50414;
15.03.2023 09:48:00;116785;98025;0;62503;110949;0;48445;48445;
15.03.2023 09:53:00;117007;98161;0;66830;113629;0;46797;46797;
15.03.2023 09:58:00;121651;102070;0;71956;119966;0;48009;48009;
15.03.2023 10:03:00;121610;101948;0;72068;119611;0;47542;47542;
15.03.2023 10:08:00;106490;89543;0;60556;106388;0;45831;45831;
15.03.2023 10:13:00;138338;115935;0;87423;140286;0;52861;52861;
15.03.2023 10:18:00;99411;83653;0;56805;104111;0;47305;47305;
15.03.2023 10:23:00;134715;113158;0;81522;131603;0;50080;50080;
15.03.2023 10:28:00;137168;115347;0;91458;137494;0;46034;46034;
15.03.2023 10:33:00;107142;90109;0;59649;111990;0;52340;52340;
15.03.2023 10:38:00;100109;84250;0;57501;106711;0;49208;49208;
15.03.2023 10:43:00;63628;53915;0;16414;68049;0;51634;51634;
15.03.2023 10:48:00;78938;66627;0;23304;75721;0;52416;52416;
15.03.2023 10:53:00;105068;88454;0;51268;107612;0;56342;56342;
15.03.2023 10:58:00;100624;84679;0;50111;98925;0;48813;48813;
15.03.2023 11:03:00;95959;80830;0;43983;95058;0;51074;51074;
15.03.2023 11:08:00;106532;89684;0;52619;108727;0;56107;56107;
15.03.2023 11:13:00;76450;64556;0;24883;79237;0;54353;54353;
15.03.2023 11:18:00;134449;112931;0;70824;128028;0;57203;57203;
15.03.2023 11:23:00;161541;135569;0;106193;160623;0;54428;54428;
15.03.2023 11:28:00;152731;128050;0;98287;144339;0;46051;46051;
15.03.2023 11:33:00;155792;131045;0;102229;149515;0;47284;47284;
15.03.2023 11:38:00;162750;136733;0;102002;159440;0;57436;57436;
15.03.2023 11:43:00;153219;128675;0;100045;155695;0;55649;55649;
15.03.2023 11:48:00;150518;126408;0;101326;146485;0;45200;45200;
15.03.2023 11:53:00;151538;127304;0;102316;142659;0;40362;40362;
15.03.2023 11:58:00;151181;126956;0;101024;151199;0;50174;50174;
15.03.2023 12:03:00;155495;130607;0;103573;154750;0;51176;51176;
15.03.2023 12:08:00;155078;130303;0;101804;147836;0;46031;46031;
15.03.2023 12:13:00;152198;127856;0;99580;145035;0;45454;45454;
15.03.2023 12:18:00;161518;135728;0;109364;156448;0;47083;47083;
15.03.2023 12:23:00;132659;111635;0;88858;135395;0;46535;46535;
15.03.2023 12:28:00;166397;140497;0;106828;137074;0;32441;32441;
15.03.2023 12:33:00;116904;98436;0;78205;118064;0;39859;39859;
15.03.2023 12:38:00;88220;74427;0;51121;88344;0;37223;37223;
15.03.2023 12:43:00;85888;72431;0;44423;83657;0;39233;39233;
15.03.2023 12:48:00;84194;70980;0;41439;84032;0;42591;42591;
15.03.2023 12:53:00;106569;89735;0;55663;97524;0;41860;41860;
15.03.2023 12:58:00;176092;148047;0;126278;158581;0;32302;32302;
15.03.2023 13:03:00;106908;90136;0;58921;109606;0;50684;50684;
15.03.2023 13:08:00;102507;86483;0;54197;98963;0;44765;44765;
15.03.2023 13:13:00;181328;152549;0;130005;167817;0;37811;37811;
15.03.2023 13:18:00;109338;91898;0;63621;111907;0;48284;48284;
15.03.2023 13:23:00;69034;58326;0;17047;70887;0;53838;53838;
15.03.2023 13:28:00;66602;56290;0;18599;70616;0;52016;52016;
15.03.2023 13:33:00;69364;58567;0;18536;75471;0;56933;56933;
15.03.2023 13:38:00;77459;65363;0;28654;81615;0;52960;52960;
15.03.2023 13:43:00;85359;71879;0;33321;87048;0;53726;53726;
15.03.2023 13:48:00;137618;115530;0;83135;131025;0;47888;47888;
15.03.2023 13:53:00;76619;64666;0;35733;79397;0;43662;43662;
15.03.2023 13:58:00;137074;115187;0;83056;129731;0;46675;46675;
15.03.2023 14:03:00;139143;116931;0;91360;134139;0;42778;42778;
15.03.2023 14:08:00;123552;104101;0;82570;117120;0;34549;34549;
15.03.2023 14:13:00;40744;34775;4452;8860;41456;0;32594;37047;
15.03.2023 14:18:00;59464;50353;6351;14646;64503;0;49856;56208;
15.03.2023 14:23:00;46483;39566;1657;5270;46815;0;41544;43202;
15.03.2023 14:28:00;59925;50817;968;27056;64216;0;37161;38128;
15.03.2023 14:33:00;120362;101391;232;76429;114611;0;38181;38413;
15.03.2023 14:38:00;135814;113996;0;103569;132677;0;29139;29139;
15.03.2023 14:43:00;74361;62845;0;43698;84061;0;40361;40361;
15.03.2023 14:48:00;124595;104623;0;77539;121924;0;44383;44383;
15.03.2023 14:53:00;144223;121106;0;102043;142670;0;40626;40626;
15.03.2023 14:58:00;142567;119621;0;102885;141591;0;38704;38704;
15.03.2023 15:03:00;131726;110711;0;96939;136058;0;39375;39375;
15.03.2023 15:08:00;36485;31322;0;8699;38281;0;29583;29583;
15.03.2023 15:13:00;43691;37176;4972;4555;43478;0;38921;43894;
15.03.2023 15:18:00;117365;98678;3391;71307;111758;0;40451;43843;
15.03.2023 15:23:00;84988;71687;1361;50697;83777;0;33079;34441;
15.03.2023 15:28:00;45059;38604;854;14495;46632;0;32209;33045;
15.03.2023 15:33:00;42901;36634;14;7341;42749;0;35408;35422;
15.03.2023 15:38:00;40733;34790;0;9388;40472;0;31082;31082;
15.03.2023 15:43:00;50605;43072;0;14659;50343;0;35683;35683;
15.03.2023 15:48:00;41155;35195;0;8535;39114;0;30577;30577;
15.03.2023 15:53:00;52206;44379;0;7209;50441;0;43231;43231;
15.03.2023 15:58:00;53245;45284;0;18732;55416;0;36682;36682;
15.03.2023 16:03:00;34393;29560;4594;2655;35710;0;33053;37648;
15.03.2023 16:08:00;35181;30215;5292;1224;37495;0;36270;41563;
15.03.2023 16:13:00;24493;21409;13487;682;26090;0;25406;38894;
15.03.2023 16:18:00;14079;12789;21099;0;14304;0;14304;35405;
15.03.2023 16:23:00;13544;12329;25135;0;13418;0;13418;38555;
15.03.2023 16:28:00;19367;17168;20558;0;18509;0;18509;39068;
15.03.2023 16:33:00;23018;20206;17256;0;23773;0;23773;41030;
15.03.2023 16:38:00;22274;19592;15586;0;22767;0;22767;38354;
15.03.2023 16:43:00;22509;19782;15212;0;23354;0;23354;38567;
15.03.2023 16:48:00;20016;17722;20306;0;20100;0;20100;40407;
15.03.2023 16:53:00;20864;18419;16964;0;21017;0;21017;37983;
15.03.2023 16:58:00;20675;18263;20672;0;20670;0;20670;41342;
15.03.2023 17:03:00;17104;15249;15410;0;17068;0;17068;32479;
15.03.2023 17:08:00;12207;11175;17722;0;12305;0;12305;30027;
15.03.2023 17:13:00;9875;9224;20456;0;9933;0;9933;30389;
15.03.2023 17:18:00;8232;7859;21173;0;8314;0;8314;29488;
15.03.2023 17:23:00;6722;6597;24686;0;6810;0;6810;31497;
15.03.2023 17:28:00;4488;4699;29009;0;4531;0;4531;33542;
15.03.2023 17:33:00;3044;3505;29070;0;3144;0;3144;32214;
15.03.2023 17:38:00;3508;3858;27315;0;3165;0;3165;30481;
15.03.2023 17:43:00;6907;6724;22139;0;6631;0;6631;28772;
15.03.2023 17:48:00;6449;6333;21896;0;6362;0;6362;28258;
15.03.2023 17:53:00;6636;6503;22487;0;6619;0;6619;29108;
15.03.2023 17:58:00;5506;5529;23036;0;5566;0;5566;28603;
15.03.2023 18:03:00;3430;3813;25613;0;3616;0;3616;29230;
15.03.2023 18:08:00;1879;2514;27185;0;2019;0;2019;29205;
15.03.2023 18:13:00;1232;1948;28067;0;1366;0;1366;29433;
15.03.2023 18:18:00;508;1330;28217;0;822;0;822;29040;
