tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
14.07.2022 00:00:30;0;0;0;3180;0;35629;32449;32449;
14.07.2022 00:05:30;0;0;0;3130;0;35645;32514;32514;
14.07.2022 00:10:30;0;0;0;3111;0;34873;31761;31761;
14.07.2022 00:15:30;0;0;0;3077;0;35640;32562;32562;
14.07.2022 00:20:30;0;0;0;2940;0;35645;32705;32705;
14.07.2022 00:25:30;0;0;0;1699;0;35980;34280;34280;
14.07.2022 00:30:30;0;0;0;2577;0;35711;33134;33134;
14.07.2022 00:35:30;0;0;0;3169;0;36052;32882;32882;
14.07.2022 00:40:30;0;0;0;2771;0;35636;32865;32865;
14.07.2022 00:45:30;0;0;0;2840;0;35646;32805;32805;
14.07.2022 00:50:30;0;0;0;2624;0;35635;33010;33010;
14.07.2022 00:55:30;0;0;0;3298;0;35640;32342;32342;
14.07.2022 01:00:30;0;0;0;2700;0;35639;32938;32938;
14.07.2022 01:05:30;0;0;0;3275;0;35638;32362;32362;
14.07.2022 01:10:30;0;0;0;2815;0;35643;32828;32828;
14.07.2022 01:15:30;0;0;0;2919;0;35644;32724;32724;
14.07.2022 01:20:30;0;0;0;4210;0;35647;31437;31437;
14.07.2022 01:25:30;0;0;0;4408;0;35636;31227;31227;
14.07.2022 01:30:30;0;0;0;4329;0;35332;31002;31002;
14.07.2022 01:35:30;0;0;0;4135;0;35630;31495;31495;
14.07.2022 01:40:30;0;0;0;4388;0;35641;31252;31252;
14.07.2022 01:45:30;0;0;0;2925;0;35643;32716;32716;
14.07.2022 01:50:30;0;0;0;3265;0;35640;32374;32374;
14.07.2022 01:55:30;0;0;0;3948;0;35641;31692;31692;
14.07.2022 02:00:30;0;0;0;4169;0;35636;31466;31466;
14.07.2022 02:05:30;0;0;0;4323;0;35287;30964;30964;
14.07.2022 02:10:30;0;0;0;3772;0;35649;31877;31877;
14.07.2022 02:15:30;0;0;0;4351;0;35646;31295;31295;
14.07.2022 02:20:30;0;0;0;4514;0;34808;30293;30293;
14.07.2022 02:25:30;0;0;0;4645;0;35637;30991;30991;
14.07.2022 02:30:30;0;0;0;3417;0;35324;31906;31906;
14.07.2022 02:35:30;0;0;0;3899;0;35639;31739;31739;
14.07.2022 02:40:30;0;0;0;4498;0;34798;30300;30300;
14.07.2022 02:45:30;0;0;0;4352;0;35647;31294;31294;
14.07.2022 02:50:30;0;0;0;4401;0;35637;31236;31236;
14.07.2022 02:55:30;0;0;0;5100;0;35644;30543;30543;
14.07.2022 03:00:30;0;0;0;3972;0;35632;31659;31659;
14.07.2022 03:05:30;0;0;0;3573;0;34806;31233;31233;
14.07.2022 03:10:30;0;0;0;4421;0;35644;31222;31222;
14.07.2022 03:15:30;0;0;0;4434;0;35564;31129;31129;
14.07.2022 03:20:30;0;0;0;5099;0;35665;30566;30566;
14.07.2022 03:25:30;0;0;0;4703;0;34876;30172;30172;
14.07.2022 03:30:30;0;0;0;5503;0;36125;30621;30621;
14.07.2022 03:35:30;0;0;0;2707;0;36105;33397;33397;
14.07.2022 03:40:30;0;0;0;1904;0;35639;33734;33734;
14.07.2022 03:45:30;0;0;0;1895;0;36074;34179;34179;
14.07.2022 03:50:30;0;0;0;3492;0;35672;32179;32179;
14.07.2022 03:55:30;0;0;0;4189;0;35327;31137;31137;
14.07.2022 04:00:30;0;0;0;2793;0;35368;32575;32575;
14.07.2022 04:05:30;0;0;0;2143;0;35636;33493;33493;
14.07.2022 04:10:30;0;0;0;2239;0;35641;33402;33402;
14.07.2022 04:15:30;0;0;0;1841;0;35641;33799;33799;
14.07.2022 04:20:30;0;0;0;2468;0;35421;32952;32952;
14.07.2022 04:25:30;0;0;0;4284;0;35639;31354;31354;
14.07.2022 04:30:30;0;0;0;3777;0;35819;32041;32041;
14.07.2022 04:35:30;0;0;0;2015;0;35642;33626;33626;
14.07.2022 04:40:30;0;0;0;3643;0;35877;32233;32233;
14.07.2022 04:45:30;0;0;0;4683;0;34704;30021;30021;
14.07.2022 04:50:30;0;0;0;4962;0;35637;30674;30674;
14.07.2022 04:55:30;0;0;0;4389;0;35637;31247;31247;
14.07.2022 05:00:30;0;0;0;4341;0;35644;31302;31302;
14.07.2022 05:05:30;0;0;0;2600;0;35642;33041;33041;
14.07.2022 05:10:30;0;0;0;3988;0;35315;31327;31327;
14.07.2022 05:15:30;0;0;0;3857;0;35204;31347;31347;
14.07.2022 05:20:30;0;0;0;3978;0;34687;30708;30708;
14.07.2022 05:25:30;0;0;0;5961;0;35644;29682;29682;
14.07.2022 05:30:30;0;0;0;7162;0;35546;28383;28383;
14.07.2022 05:35:30;0;0;0;7399;0;34914;27514;27514;
14.07.2022 05:40:30;0;0;0;7486;123;35636;28272;28272;
14.07.2022 05:45:30;0;0;0;6289;740;35644;30094;30094;
14.07.2022 05:50:30;0;0;0;7953;1259;35643;28950;28950;
14.07.2022 05:55:30;0;0;0;8074;1840;35646;29412;29412;
14.07.2022 06:00:30;0;0;0;9047;2676;35637;29266;29266;
14.07.2022 06:05:30;0;0;0;9849;3663;35639;29452;29452;
14.07.2022 06:10:30;0;0;0;9282;4645;35843;31206;31206;
14.07.2022 06:15:30;0;0;0;10256;5952;35637;31333;31333;
14.07.2022 06:20:30;0;0;0;9387;7789;35636;34037;34037;
14.07.2022 06:25:30;0;0;0;11407;9776;35641;34011;34011;
14.07.2022 06:30:30;0;0;0;13028;11513;35644;34129;34129;
14.07.2022 06:35:30;0;0;0;15242;11215;35647;31619;31619;
14.07.2022 06:40:30;0;0;0;15467;11781;34953;31267;31267;
14.07.2022 06:45:30;0;0;0;18737;16139;35645;33047;33047;
14.07.2022 06:50:30;0;0;0;22683;17638;36121;31076;31076;
14.07.2022 06:55:30;0;0;0;21331;19332;34578;32579;32579;
14.07.2022 07:00:30;0;0;0;26542;20437;35638;29534;29534;
14.07.2022 07:05:30;0;0;0;21123;16571;35325;30773;30773;
14.07.2022 07:10:30;0;0;0;19847;13723;35641;29516;29516;
14.07.2022 07:15:30;0;0;0;22747;19227;35638;32119;32119;
14.07.2022 07:20:30;0;0;0;25670;25295;35645;35270;35270;
14.07.2022 07:25:30;0;0;0;28621;25362;35641;32382;32382;
14.07.2022 07:30:30;0;0;0;33298;33961;35645;36307;36307;
14.07.2022 07:35:30;0;0;0;38994;40109;34814;35929;35929;
14.07.2022 07:40:30;0;0;0;38394;40986;35644;38235;38235;
14.07.2022 07:45:30;0;0;0;42452;42638;35643;35829;35829;
14.07.2022 07:50:30;0;0;0;47127;47167;35637;35676;35676;
14.07.2022 07:55:30;0;0;0;48521;50598;35638;37716;37716;
14.07.2022 08:00:30;0;0;0;52170;59008;34705;41542;41542;
14.07.2022 08:05:30;0;0;0;55343;61088;35323;41068;41068;
14.07.2022 08:10:30;0;0;0;59144;66233;35650;42738;42738;
14.07.2022 08:15:30;0;0;0;63718;65467;35646;37395;37395;
14.07.2022 08:20:30;0;0;0;64508;75340;35642;46474;46474;
14.07.2022 08:25:30;0;0;0;70223;79755;31276;40808;40808;
14.07.2022 08:30:30;0;0;0;44831;82387;420;37977;37977;
14.07.2022 08:35:30;0;0;0;48120;82010;79;33968;33968;
