tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
25.02.2023 00:03:00;0;0;0;2401;0;40967;38565;38565;
25.02.2023 00:08:00;0;0;0;1951;0;40536;38584;38584;
25.02.2023 00:13:00;0;0;0;1113;0;40478;39364;39364;
25.02.2023 00:18:00;0;0;0;1688;0;40987;39299;39299;
25.02.2023 00:23:00;0;0;0;2952;0;40170;37217;37217;
25.02.2023 00:28:00;0;0;0;3381;0;39758;36376;36376;
25.02.2023 00:33:00;0;0;0;1725;0;40588;38862;38862;
25.02.2023 00:38:00;0;0;1152;998;0;40469;39471;40623;
25.02.2023 00:43:00;0;0;1499;865;0;40218;39353;40853;
25.02.2023 00:48:00;0;0;1495;865;0;40564;39699;41194;
25.02.2023 00:53:00;0;0;2998;841;0;39866;39024;42023;
25.02.2023 00:58:00;0;0;4488;103;0;40810;40706;45196;
25.02.2023 01:03:00;0;0;7634;0;0;41380;41380;49014;
25.02.2023 01:08:00;0;0;3436;0;0;39878;39878;43315;
25.02.2023 01:13:00;0;0;1636;0;0;40269;40269;41905;
25.02.2023 01:18:00;0;0;2002;0;0;40656;40656;42659;
25.02.2023 01:23:00;0;0;3817;0;0;39381;39381;43199;
25.02.2023 01:28:00;0;0;1644;0;0;39755;39755;41401;
25.02.2023 01:33:00;0;0;966;0;0;40554;40554;41521;
25.02.2023 01:38:00;0;0;241;108;0;40407;40299;40541;
25.02.2023 01:43:00;0;0;0;949;0;39666;38717;38717;
25.02.2023 01:48:00;0;0;0;949;0;40454;39505;39505;
25.02.2023 01:53:00;0;0;4367;887;0;41566;40679;45046;
25.02.2023 01:58:00;0;0;6865;140;0;39075;38934;45800;
25.02.2023 02:03:00;0;0;2774;0;0;41153;41153;43927;
25.02.2023 02:08:00;0;0;2393;0;0;39833;39833;42227;
25.02.2023 02:13:00;0;0;2381;0;0;41571;41571;43953;
25.02.2023 02:18:00;0;0;1258;0;0;40165;40165;41425;
25.02.2023 02:23:00;0;0;3661;0;0;39462;39462;43124;
25.02.2023 02:28:00;0;0;3651;0;0;40390;40390;44041;
25.02.2023 02:33:00;0;0;1469;479;0;41083;40603;42073;
25.02.2023 02:38:00;0;0;944;2007;0;40901;38894;39839;
25.02.2023 02:43:00;0;0;903;2352;0;39970;37617;38520;
25.02.2023 02:48:01;0;0;903;1356;0;40704;39347;40250;
25.02.2023 02:53:01;0;0;657;1307;0;40358;39050;39708;
25.02.2023 02:58:01;0;0;0;3783;0;41199;37415;37415;
25.02.2023 03:03:01;0;0;0;6335;0;41676;35340;35340;
25.02.2023 03:08:01;0;0;0;4588;0;40749;36160;36160;
25.02.2023 03:13:01;0;0;0;3156;0;40612;37455;37455;
25.02.2023 03:18:01;0;0;0;4255;0;40366;36111;36111;
25.02.2023 03:23:01;0;0;0;3390;0;41160;37769;37769;
25.02.2023 03:28:01;0;0;0;2392;0;39110;36717;36717;
25.02.2023 03:33:01;0;0;0;4736;0;40838;36101;36101;
25.02.2023 03:38:01;0;0;0;5290;0;40503;35212;35212;
25.02.2023 03:43:01;0;0;0;5812;0;40986;35174;35174;
25.02.2023 03:48:01;0;0;0;4270;0;40646;36374;36374;
