tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
20.09.2022 00:04:00;0;0;0;5494;0;41538;36043;36043;
20.09.2022 00:09:00;0;0;0;4497;0;39840;35341;35341;
20.09.2022 00:14:00;0;0;0;6792;0;40749;33956;33956;
20.09.2022 00:19:00;0;0;0;6409;0;39367;32957;32957;
20.09.2022 00:24:00;0;0;0;4561;0;40227;35665;35665;
20.09.2022 00:29:00;0;0;0;4485;0;39419;34933;34933;
20.09.2022 00:34:00;0;0;0;5060;0;39220;34159;34159;
20.09.2022 00:39:00;0;0;0;2003;0;39268;37264;37264;
20.09.2022 00:44:00;0;0;0;2567;0;40369;37801;37801;
20.09.2022 00:49:00;0;0;0;2086;0;40135;38048;38048;
20.09.2022 00:54:00;0;0;0;1104;0;40701;39597;39597;
20.09.2022 00:59:00;0;0;1212;498;0;41629;41130;42343;
20.09.2022 01:04:00;0;0;1733;0;0;40590;40590;42323;
20.09.2022 01:09:00;0;0;3526;0;0;40497;40497;44024;
20.09.2022 01:14:00;0;0;2335;0;0;40586;40586;42922;
20.09.2022 01:19:00;0;0;5840;0;0;40193;40193;46033;
20.09.2022 01:24:00;0;0;2518;0;0;40127;40127;42645;
20.09.2022 01:29:00;0;0;3120;0;0;41178;41178;44298;
20.09.2022 01:34:00;0;0;2949;0;0;40680;40680;43630;
20.09.2022 01:39:00;0;0;3011;0;0;41388;41388;44399;
20.09.2022 01:44:00;0;0;4224;0;0;41155;41155;45379;
20.09.2022 01:49:00;0;0;3407;0;0;39305;39305;42713;
20.09.2022 01:54:00;0;0;2791;0;0;40159;40159;42950;
20.09.2022 01:59:00;0;0;5213;0;0;39820;39820;45033;
20.09.2022 02:04:00;0;0;5556;0;0;39156;39156;44713;
20.09.2022 02:09:00;0;0;9058;0;0;41115;41115;50174;
20.09.2022 02:14:00;0;0;10209;0;0;39944;39944;50154;
20.09.2022 02:19:00;0;0;8465;0;0;38967;38967;47433;
20.09.2022 02:24:00;0;0;3289;0;0;40474;40474;43763;
20.09.2022 02:29:00;0;0;2733;0;0;39748;39748;42481;
20.09.2022 02:34:00;0;0;3849;0;0;39614;39614;43464;
20.09.2022 02:39:00;0;0;11183;0;0;41183;41183;52368;
20.09.2022 02:44:00;0;0;9683;0;0;40217;40217;49902;
20.09.2022 02:49:00;0;0;6722;0;0;39287;39287;46009;
20.09.2022 02:54:00;0;0;4719;0;0;39595;39595;44314;
20.09.2022 02:59:00;0;0;2925;0;0;40807;40807;43733;
20.09.2022 03:04:00;0;0;2401;0;0;41922;41922;44324;
20.09.2022 03:09:00;0;0;5029;0;0;40705;40705;45734;
20.09.2022 03:14:00;0;0;4902;0;0;38995;38995;43898;
20.09.2022 03:19:00;0;0;3427;0;0;40716;40716;44144;
20.09.2022 03:24:00;0;0;3699;0;0;40137;40137;43837;
20.09.2022 03:29:00;0;0;3183;0;0;40896;40896;44079;
20.09.2022 03:34:00;0;0;3190;0;0;40770;40770;43961;
20.09.2022 03:39:00;0;0;3260;0;0;40234;40234;43494;
20.09.2022 03:44:00;0;0;3288;0;0;38171;38171;41460;
20.09.2022 03:49:00;0;0;6797;0;0;37976;37976;44773;
20.09.2022 03:54:00;0;0;4999;0;0;40173;40173;45173;
20.09.2022 03:59:00;0;0;4385;0;0;39174;39174;43559;
20.09.2022 04:04:00;0;0;6211;0;0;38941;38941;45153;
20.09.2022 04:09:00;0;0;8573;0;0;39556;39556;48130;
20.09.2022 04:14:00;0;0;7219;0;0;38782;38782;46002;
20.09.2022 04:19:00;0;0;9408;0;0;37897;37897;47305;
20.09.2022 04:24:00;0;0;8034;0;0;37874;37874;45908;
20.09.2022 04:29:00;0;0;5066;0;0;38177;38177;43244;
20.09.2022 04:34:00;0;0;4243;0;0;39025;39025;43269;
20.09.2022 04:39:00;0;0;4588;0;0;38774;38774;43363;
20.09.2022 04:44:00;0;0;4893;0;0;37007;37007;41901;
20.09.2022 04:49:00;0;0;5015;0;0;38365;38365;43381;
20.09.2022 04:54:00;0;0;4542;0;0;38947;38947;43489;
20.09.2022 04:59:00;0;0;7158;0;0;37933;37933;45092;
20.09.2022 05:04:00;0;0;6155;0;0;39370;39370;45526;
20.09.2022 05:09:00;0;0;6763;0;0;38546;38546;45309;
20.09.2022 05:14:00;0;0;9435;0;0;38811;38811;48247;
20.09.2022 05:19:00;0;0;4659;0;0;37935;37935;42594;
20.09.2022 05:24:00;0;0;4723;0;0;38965;38965;43689;
20.09.2022 05:29:00;0;0;7929;0;0;37445;37445;45374;
20.09.2022 05:34:00;0;0;5485;0;0;38715;38715;44202;
20.09.2022 05:39:00;0;0;9433;0;0;38144;38144;47577;
20.09.2022 05:44:00;0;0;8476;0;0;38837;38837;47314;
20.09.2022 05:49:00;0;0;5118;0;0;39620;39620;44739;
20.09.2022 05:54:00;0;0;5589;0;0;38429;38429;44019;
20.09.2022 05:59:00;0;0;6841;0;0;37620;37620;44462;
20.09.2022 06:04:00;0;0;5743;0;0;39373;39373;45116;
20.09.2022 06:09:00;0;0;7543;0;0;38546;38546;46090;
20.09.2022 06:14:00;0;0;12073;0;0;38482;38482;50556;
20.09.2022 06:19:00;0;0;15955;0;0;38895;38895;54851;
20.09.2022 06:24:00;0;0;20134;0;0;35761;35761;55896;
20.09.2022 06:29:00;0;0;15317;0;0;37931;37931;53249;
20.09.2022 06:34:00;0;0;13221;0;0;34812;34812;48034;
20.09.2022 06:39:00;0;0;16177;0;0;35717;35717;51895;
20.09.2022 06:44:00;0;0;16995;0;0;35640;35640;52636;
20.09.2022 06:49:00;0;0;16678;0;0;36104;36104;52783;
20.09.2022 06:54:00;0;0;21731;0;0;35649;35649;57381;
20.09.2022 06:59:00;0;0;19881;0;0;35646;35646;55528;
20.09.2022 07:04:00;0;0;18296;0;0;35634;35634;53930;
20.09.2022 07:09:00;0;0;17216;0;0;35648;35648;52866;
20.09.2022 07:14:00;9;22;13087;0;0;34804;34804;47892;
20.09.2022 07:19:00;221;345;14354;0;0;35645;35645;50000;
20.09.2022 07:24:00;609;739;16674;0;246;35633;35880;52555;
20.09.2022 07:29:00;1222;1250;19459;0;963;35401;36365;55825;
20.09.2022 07:34:00;2188;2019;14379;0;1954;35644;37599;51979;
20.09.2022 07:39:00;2960;2605;12484;0;2820;35642;38463;50948;
20.09.2022 07:44:00;2805;2474;13982;0;2766;34766;37533;51516;
20.09.2022 07:49:00;2032;1839;14294;0;2211;35640;37851;52146;
20.09.2022 07:54:00;736;801;12366;0;936;35643;36580;48947;
