tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
05.05.2023 00:02:30;0;0;27547;0;0;0;0;27547;
05.05.2023 00:07:30;0;0;26380;0;0;0;0;26380;
05.05.2023 00:12:30;0;0;26193;0;0;0;0;26193;
05.05.2023 00:17:30;0;0;26664;0;0;0;0;26664;
05.05.2023 00:22:30;0;0;26260;0;0;0;0;26260;
05.05.2023 00:27:30;0;0;26072;0;0;0;0;26072;
05.05.2023 00:32:30;0;0;30188;0;0;0;0;30188;
05.05.2023 00:37:30;0;0;26713;0;0;0;0;26713;
05.05.2023 00:42:30;0;0;26907;0;0;0;0;26907;
05.05.2023 00:47:30;0;0;26156;0;0;0;0;26156;
05.05.2023 00:52:30;0;0;26371;0;0;0;0;26371;
05.05.2023 00:57:30;0;0;26490;0;0;0;0;26490;
05.05.2023 01:02:30;0;0;27114;0;0;0;0;27114;
05.05.2023 01:07:30;0;0;29256;0;0;0;0;29256;
05.05.2023 01:12:30;0;0;30230;0;0;0;0;30230;
05.05.2023 01:17:30;0;0;33626;0;0;0;0;33626;
05.05.2023 01:22:30;0;0;31818;0;0;0;0;31818;
05.05.2023 01:27:30;0;0;33821;0;0;0;0;33821;
05.05.2023 01:32:30;0;0;29116;0;0;0;0;29116;
05.05.2023 01:37:30;0;0;26030;0;0;0;0;26030;
05.05.2023 01:42:30;0;0;25593;0;0;0;0;25593;
05.05.2023 01:47:30;0;0;25647;0;0;0;0;25647;
05.05.2023 01:52:30;0;0;27646;0;0;0;0;27646;
05.05.2023 01:57:30;0;0;27803;0;0;0;0;27803;
05.05.2023 02:02:30;0;0;26448;0;0;0;0;26448;
05.05.2023 02:07:30;0;0;25469;0;0;0;0;25469;
05.05.2023 02:12:30;0;0;24635;0;0;0;0;24635;
05.05.2023 02:17:30;0;0;25387;0;0;0;0;25387;
05.05.2023 02:22:30;0;0;24834;0;0;0;0;24834;
05.05.2023 02:27:30;0;0;24576;0;0;0;0;24576;
05.05.2023 02:32:30;0;0;24771;0;0;0;0;24771;
05.05.2023 02:37:30;0;0;24587;0;0;0;0;24587;
05.05.2023 02:42:30;0;0;25850;0;0;0;0;25850;
05.05.2023 02:47:30;0;0;26844;0;0;0;0;26844;
05.05.2023 02:52:30;0;0;25075;0;0;0;0;25075;
05.05.2023 02:57:30;0;0;25419;0;0;0;0;25419;
05.05.2023 03:02:30;0;0;24819;0;0;0;0;24819;
05.05.2023 03:07:30;0;0;24584;0;0;0;0;24584;
05.05.2023 03:12:30;0;0;24582;0;0;0;0;24582;
05.05.2023 03:17:30;0;0;24819;0;0;0;0;24819;
05.05.2023 03:22:30;0;0;24929;0;0;0;0;24929;
05.05.2023 03:27:30;0;0;25361;0;0;0;0;25361;
05.05.2023 03:32:30;0;0;26507;0;0;0;0;26507;
05.05.2023 03:37:30;0;0;27231;0;0;0;0;27231;
05.05.2023 03:42:30;0;0;24703;0;0;0;0;24703;
05.05.2023 03:47:30;0;0;25307;0;0;0;0;25307;
05.05.2023 03:52:30;0;0;24292;0;0;0;0;24292;
05.05.2023 03:57:30;0;0;24946;0;0;0;0;24946;
05.05.2023 04:02:30;0;0;26194;0;0;0;0;26194;
05.05.2023 04:07:30;0;0;27596;0;0;0;0;27596;
05.05.2023 04:12:30;0;0;29559;0;0;0;0;29559;
05.05.2023 04:17:30;0;0;30278;0;0;0;0;30278;
05.05.2023 04:22:30;0;0;26192;0;0;0;0;26192;
05.05.2023 04:27:30;0;0;26356;0;0;0;0;26356;
05.05.2023 04:32:30;0;0;26134;0;0;0;0;26134;
05.05.2023 04:37:30;0;0;26917;0;0;0;0;26917;
05.05.2023 04:42:30;0;0;27364;0;0;0;0;27364;
05.05.2023 04:47:30;0;0;26674;0;0;0;0;26674;
05.05.2023 04:52:30;0;0;25876;0;0;0;0;25876;
05.05.2023 04:57:30;0;0;26252;0;0;0;0;26252;
05.05.2023 05:02:30;0;0;27735;0;0;0;0;27735;
05.05.2023 05:07:30;0;0;29801;0;0;0;0;29801;
05.05.2023 05:12:30;0;0;26957;0;0;0;0;26957;
05.05.2023 05:17:30;0;0;27442;0;0;0;0;27442;
05.05.2023 05:22:30;0;0;27847;0;0;0;0;27847;
05.05.2023 05:27:30;0;0;30229;0;0;0;0;30229;
05.05.2023 05:32:30;0;0;29546;0;0;0;0;29546;
05.05.2023 05:37:30;0;0;32179;0;0;0;0;32179;
05.05.2023 05:42:30;0;0;27148;0;0;0;0;27148;
05.05.2023 05:47:30;0;0;26700;0;0;0;0;26700;
