tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
30.07.2022 00:00:30;0;0;28857;0;0;0;0;28857;
30.07.2022 00:05:30;0;0;25604;0;0;0;0;25604;
30.07.2022 00:10:30;0;0;25187;0;0;0;0;25187;
30.07.2022 00:15:30;0;0;25425;0;0;0;0;25425;
30.07.2022 00:20:30;0;0;25250;0;0;0;0;25250;
30.07.2022 00:25:30;0;0;26138;0;0;0;0;26138;
30.07.2022 00:30:30;0;0;25522;0;0;0;0;25522;
30.07.2022 00:35:30;0;0;25650;0;0;0;0;25650;
30.07.2022 00:40:30;0;0;26202;0;0;0;0;26202;
30.07.2022 00:45:30;0;0;28395;0;0;0;0;28395;
30.07.2022 00:50:30;0;0;25922;0;0;0;0;25922;
30.07.2022 00:55:30;0;0;25709;0;0;0;0;25709;
30.07.2022 01:00:30;0;0;26522;0;0;0;0;26522;
30.07.2022 01:05:30;0;0;27347;0;0;0;0;27347;
30.07.2022 01:10:30;0;0;26148;0;0;0;0;26148;
30.07.2022 01:15:30;0;0;25162;0;0;0;0;25162;
30.07.2022 01:20:30;0;0;24521;0;0;0;0;24521;
30.07.2022 01:25:30;0;0;22974;0;0;0;0;22974;
30.07.2022 01:30:30;0;0;22944;0;0;0;0;22944;
30.07.2022 01:35:30;0;0;22827;0;0;0;0;22827;
30.07.2022 01:40:30;0;0;23233;0;0;0;0;23233;
30.07.2022 01:45:30;0;0;23466;0;0;0;0;23466;
30.07.2022 01:50:30;0;0;23137;0;0;0;0;23137;
30.07.2022 01:55:30;0;0;22735;0;0;0;0;22735;
30.07.2022 02:00:30;0;0;24176;0;0;0;0;24176;
30.07.2022 02:05:30;0;0;25578;0;0;0;0;25578;
30.07.2022 02:10:30;0;0;23591;0;0;0;0;23591;
30.07.2022 02:15:30;0;0;24337;0;0;0;0;24337;
30.07.2022 02:20:30;0;0;25922;0;0;0;0;25922;
