tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
20.07.2022 00:00:30;0;0;0;3382;0;35641;32258;32258;
20.07.2022 00:05:30;0;0;0;3001;0;35648;32647;32647;
20.07.2022 00:10:30;0;0;0;2923;0;35640;32716;32716;
20.07.2022 00:15:30;0;0;0;3016;0;35639;32623;32623;
20.07.2022 00:20:30;0;0;0;2817;0;35638;32820;32820;
20.07.2022 00:25:30;0;0;0;2081;0;35635;33553;33553;
20.07.2022 00:30:30;0;0;0;2171;0;35637;33466;33466;
20.07.2022 00:35:30;0;0;0;2778;0;35832;33052;33052;
20.07.2022 00:40:30;0;0;0;2983;0;35639;32655;32655;
20.07.2022 00:45:30;0;0;0;2748;0;35641;32892;32892;
20.07.2022 00:50:30;0;0;0;3037;0;35647;32609;32609;
20.07.2022 00:55:30;0;0;0;2911;0;34243;31331;31331;
20.07.2022 01:00:30;0;0;0;2877;0;34815;31937;31937;
20.07.2022 01:05:30;0;0;0;2367;0;35640;33272;33272;
20.07.2022 01:10:30;0;0;0;2264;0;35331;33066;33066;
20.07.2022 01:15:30;0;0;0;3388;0;35642;32253;32253;
20.07.2022 01:20:30;0;0;0;4643;0;35640;30996;30996;
20.07.2022 01:25:30;0;0;0;5646;0;35646;29999;29999;
20.07.2022 01:30:30;0;0;0;5627;0;35645;30017;30017;
20.07.2022 01:35:30;0;0;0;5892;0;35638;29745;29745;
20.07.2022 01:40:30;0;0;0;5682;0;35637;29954;29954;
20.07.2022 01:45:30;0;0;0;5816;0;36120;30304;30304;
20.07.2022 01:50:30;0;0;0;5308;0;34864;29556;29556;
20.07.2022 01:55:30;0;0;0;3078;0;35641;32562;32562;
20.07.2022 02:00:30;0;0;0;5307;0;34786;29478;29478;
20.07.2022 02:05:30;0;0;0;5335;0;35316;29981;29981;
20.07.2022 02:10:30;0;0;0;5404;0;35639;30235;30235;
20.07.2022 02:15:30;0;0;0;5741;0;35638;29896;29896;
20.07.2022 02:20:30;0;0;0;4952;0;35642;30689;30689;
20.07.2022 02:25:30;0;0;0;4760;0;34488;29727;29727;
20.07.2022 02:30:30;0;0;0;2298;0;35642;33343;33343;
20.07.2022 02:35:30;0;0;0;4947;0;35639;30691;30691;
20.07.2022 02:40:30;0;0;0;4658;0;35311;30652;30652;
20.07.2022 02:45:30;0;0;0;4857;0;35642;30784;30784;
20.07.2022 02:50:30;0;0;0;4984;0;35641;30657;30657;
20.07.2022 02:55:30;0;0;0;4715;0;35327;30611;30611;
20.07.2022 03:00:30;0;0;0;5046;0;35648;30601;30601;
20.07.2022 03:05:30;0;0;0;3258;0;35323;32063;32063;
20.07.2022 03:10:30;0;0;0;2680;0;35638;32957;32957;
20.07.2022 03:15:30;0;0;0;2914;0;35646;32731;32731;
20.07.2022 03:20:30;0;0;0;1878;0;35640;33761;33761;
20.07.2022 03:25:30;0;0;0;2761;0;34556;31795;31795;
20.07.2022 03:30:30;0;0;0;3159;0;35332;32173;32173;
20.07.2022 03:35:30;0;0;0;3133;0;35641;32508;32508;
20.07.2022 03:40:30;0;0;0;3401;0;34489;31088;31088;
20.07.2022 03:45:30;0;0;0;4636;0;35642;31005;31005;
20.07.2022 03:50:30;0;0;0;3235;0;35635;32399;32399;
20.07.2022 03:55:30;0;0;0;3291;0;34815;31524;31524;
20.07.2022 04:00:30;0;0;0;3734;0;35643;31908;31908;
20.07.2022 04:05:30;0;0;0;3919;0;35330;31410;31410;
20.07.2022 04:10:30;0;0;0;2067;0;35641;33573;33573;
20.07.2022 04:15:30;0;0;0;1552;0;35641;34089;34089;
20.07.2022 04:20:30;0;0;0;1383;0;35641;34257;34257;
20.07.2022 04:25:30;0;0;0;1852;0;35644;33791;33791;
20.07.2022 04:30:30;0;0;0;3226;0;35637;32411;32411;
20.07.2022 04:35:30;0;0;0;2666;0;35652;32986;32986;
20.07.2022 04:40:30;0;0;0;4785;0;35633;30847;30847;
20.07.2022 04:45:30;0;0;0;5174;0;34678;29503;29503;
20.07.2022 04:50:30;0;0;0;5643;0;35638;29995;29995;
20.07.2022 04:55:30;0;0;0;5569;0;34795;29226;29226;
20.07.2022 05:00:30;0;0;0;5677;0;35280;29603;29603;
20.07.2022 05:05:30;0;0;0;5582;0;35646;30063;30063;
