tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
04.05.2023 00:02:30;0;0;0;6984;0;37257;30272;30272;
04.05.2023 00:07:30;0;0;0;3915;0;37146;33229;33229;
04.05.2023 00:12:30;0;0;0;7046;0;36414;29367;29367;
04.05.2023 00:17:30;0;0;0;7350;0;36764;29414;29414;
04.05.2023 00:22:30;0;0;0;7051;0;36832;29780;29780;
04.05.2023 00:27:30;0;0;0;6718;0;36876;30158;30158;
04.05.2023 00:32:30;0;0;0;6224;0;36796;30571;30571;
04.05.2023 00:37:30;0;0;0;6204;0;38166;31962;31962;
04.05.2023 00:42:30;0;0;0;6183;0;37148;30964;30964;
04.05.2023 00:47:30;0;0;0;5232;0;37420;32187;32187;
04.05.2023 00:52:30;0;0;0;5833;0;36727;30893;30893;
04.05.2023 00:57:30;0;0;0;3802;0;37217;33415;33415;
04.05.2023 01:02:30;0;0;0;5771;0;37882;32110;32110;
04.05.2023 01:07:30;0;0;0;6034;0;36759;30724;30724;
04.05.2023 01:12:30;0;0;0;6083;0;37688;31604;31604;
04.05.2023 01:17:30;0;0;0;6042;0;37027;30985;30985;
04.05.2023 01:22:30;0;0;0;5219;0;35740;30521;30521;
04.05.2023 01:27:30;0;0;0;4312;0;36688;32375;32375;
04.05.2023 01:32:30;0;0;0;4024;0;36712;32687;32687;
04.05.2023 01:37:30;0;0;0;5198;0;36873;31674;31674;
04.05.2023 01:42:30;0;0;0;6124;0;37295;31170;31170;
04.05.2023 01:47:30;0;0;0;6251;0;36811;30560;30560;
04.05.2023 01:52:30;0;0;0;6191;0;36681;30488;30488;
04.05.2023 01:57:30;0;0;0;5205;0;36612;31407;31407;
04.05.2023 02:02:30;0;0;0;5126;0;36064;30937;30937;
04.05.2023 02:07:30;0;0;0;5623;0;35182;29558;29558;
04.05.2023 02:12:30;0;0;0;5878;0;37153;31274;31274;
04.05.2023 02:17:30;0;0;0;5998;0;36770;30772;30772;
04.05.2023 02:22:30;0;0;0;3245;0;36333;33087;33087;
04.05.2023 02:27:30;0;0;0;5521;0;36823;31300;31300;
04.05.2023 02:32:30;0;0;0;5681;0;38436;32754;32754;
04.05.2023 02:37:30;0;0;0;3814;0;37293;33479;33479;
04.05.2023 02:42:30;0;0;0;4026;0;36036;32009;32009;
