tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
09.08.2022 00:00:30;0;0;0;6249;0;40565;34315;34315;
09.08.2022 00:05:30;0;0;0;4570;0;39696;35125;35125;
09.08.2022 00:10:30;0;0;0;6062;0;41282;35219;35219;
09.08.2022 00:15:30;0;0;0;6887;0;40661;33773;33773;
09.08.2022 00:20:30;0;0;0;8522;0;40162;31640;31640;
09.08.2022 00:25:30;0;0;0;9247;0;39920;30672;30672;
09.08.2022 00:30:30;0;0;0;9754;0;41169;31414;31414;
09.08.2022 00:35:30;0;0;0;9816;0;40475;30659;30659;
09.08.2022 00:40:30;0;0;0;8893;0;40819;31926;31926;
09.08.2022 00:45:30;0;0;0;9695;0;40984;31288;31288;
09.08.2022 00:50:30;0;0;0;9551;0;40539;30987;30987;
09.08.2022 00:55:30;0;0;0;9584;0;40085;30500;30500;
09.08.2022 01:00:30;0;0;0;7137;0;40331;33193;33193;
09.08.2022 01:05:30;0;0;0;10672;0;40153;29480;29480;
09.08.2022 01:10:30;0;0;0;11208;0;40725;29516;29516;
09.08.2022 01:15:30;0;0;0;11010;0;39738;28727;28727;
09.08.2022 01:20:30;0;0;0;11866;0;39654;27786;27786;
09.08.2022 01:25:30;0;0;0;11658;0;41976;30317;30317;
09.08.2022 01:30:30;0;0;0;11108;0;41038;29929;29929;
09.08.2022 01:35:30;0;0;0;8803;0;41050;32247;32247;
09.08.2022 01:40:30;0;0;0;11243;0;41147;29903;29903;
09.08.2022 01:45:30;0;0;0;11624;0;39664;28040;28040;
09.08.2022 01:50:30;0;0;0;11804;0;40558;28753;28753;
09.08.2022 01:55:30;0;0;0;11555;0;40570;29014;29014;
09.08.2022 02:00:30;0;0;0;11615;0;40388;28772;28772;
09.08.2022 02:05:30;0;0;0;11450;0;41271;29820;29820;
09.08.2022 02:10:30;0;0;0;11367;0;39444;28076;28076;
09.08.2022 02:15:30;0;0;0;10690;0;41364;30673;30673;
09.08.2022 02:20:30;0;0;0;9763;0;40893;31128;31128;
09.08.2022 02:25:30;0;0;0;12317;0;40822;28504;28504;
09.08.2022 02:30:30;0;0;0;12722;0;41782;29060;29060;
09.08.2022 02:35:30;0;0;0;13048;0;40434;27384;27384;
09.08.2022 02:40:30;0;0;0;12198;0;39460;27261;27261;
09.08.2022 02:45:30;0;0;0;11775;0;40552;28777;28777;
09.08.2022 02:50:30;0;0;0;12195;0;41705;29509;29509;
09.08.2022 02:55:30;0;0;0;12031;0;39755;27724;27724;
09.08.2022 03:00:30;0;0;0;9757;0;39865;30107;30107;
09.08.2022 03:05:30;0;0;0;12852;0;39734;26881;26881;
09.08.2022 03:10:30;0;0;0;12318;0;39005;26687;26687;
09.08.2022 03:15:30;0;0;0;11529;0;40204;28674;28674;
09.08.2022 03:20:30;0;0;0;11980;0;41424;29444;29444;
09.08.2022 03:25:30;0;0;0;11705;0;39050;27344;27344;
09.08.2022 03:30:30;0;0;0;11974;0;40247;28273;28273;
09.08.2022 03:35:30;0;0;0;11802;0;40198;28395;28395;
09.08.2022 03:40:30;0;0;0;9178;0;41173;31994;31994;
09.08.2022 03:45:30;0;0;0;12288;0;40606;28317;28317;
09.08.2022 03:50:30;0;0;0;10687;0;39310;28622;28622;
09.08.2022 03:55:30;0;0;0;10228;0;40582;30353;30353;
09.08.2022 04:00:30;0;0;0;10738;0;39078;28339;28339;
09.08.2022 04:05:30;0;0;0;10437;0;40114;29677;29677;
09.08.2022 04:10:30;0;0;0;10739;0;40317;29577;29577;
09.08.2022 04:15:30;0;0;0;10375;0;40861;30486;30486;
09.08.2022 04:20:30;0;0;0;10113;0;41012;30898;30898;
09.08.2022 04:25:30;0;0;0;8121;0;39266;31144;31144;
09.08.2022 04:30:30;0;0;0;10380;0;41035;30654;30654;
09.08.2022 04:35:30;0;0;0;9863;0;38806;28942;28942;
09.08.2022 04:40:30;0;0;0;10634;0;41954;31319;31319;
09.08.2022 04:45:30;0;0;0;8765;0;41525;32759;32759;
09.08.2022 04:50:30;0;0;0;8883;0;39706;30822;30822;
09.08.2022 04:55:30;0;0;0;10150;0;40361;30209;30209;
09.08.2022 05:00:30;0;0;0;4651;0;39439;34786;34786;
09.08.2022 05:05:30;0;0;0;6301;0;39746;33444;33444;
09.08.2022 05:10:30;0;0;0;6697;0;39475;32777;32777;
09.08.2022 05:15:30;0;0;0;6751;0;39225;32473;32473;
09.08.2022 05:20:30;0;0;0;11119;0;41207;30087;30087;
09.08.2022 05:25:30;0;0;0;11746;0;40268;28521;28521;
09.08.2022 05:30:30;0;0;0;11241;0;40639;29397;29397;
09.08.2022 05:35:30;0;0;0;10436;0;40633;30196;30196;
09.08.2022 05:40:30;0;0;0;8892;0;40245;31353;31353;
09.08.2022 05:45:30;0;0;0;7822;0;39617;31794;31794;
09.08.2022 05:50:30;0;0;0;6191;0;40352;34160;34160;
09.08.2022 05:55:30;0;0;0;7880;0;39590;31710;31710;
09.08.2022 06:00:30;0;0;0;9545;0;39277;29731;29731;
09.08.2022 06:05:30;0;0;0;11407;0;39132;27724;27724;
