tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
08.06.2023 00:02:30;0;0;0;5622;0;40726;35104;35104;
08.06.2023 00:07:30;0;0;0;9865;0;40046;30179;30179;
08.06.2023 00:12:30;0;0;0;9701;0;43628;33927;33927;
08.06.2023 00:17:30;0;0;0;9521;0;38828;29306;29306;
08.06.2023 00:22:30;0;0;0;9933;0;42221;32287;32287;
08.06.2023 00:27:30;0;0;0;9485;0;40616;31130;31130;
08.06.2023 00:32:30;0;0;0;7723;0;41037;33314;33314;
08.06.2023 00:37:30;0;0;0;6932;0;40234;33301;33301;
08.06.2023 00:42:30;0;0;0;7548;0;40505;32957;32957;
08.06.2023 00:47:30;0;0;0;4291;0;40667;36375;36375;
08.06.2023 00:52:30;0;0;0;4610;0;41294;36684;36684;
08.06.2023 00:57:30;0;0;0;6782;0;41610;34827;34827;
08.06.2023 01:02:30;0;0;0;5268;0;40118;34848;34848;
08.06.2023 01:07:30;0;0;0;5400;0;40029;34628;34628;
08.06.2023 01:12:30;0;0;0;6967;0;39740;32772;32772;
08.06.2023 01:17:30;0;0;0;5288;0;41027;35738;35738;
08.06.2023 01:22:30;0;0;0;5476;0;40637;35161;35161;
08.06.2023 01:27:30;0;0;0;5362;0;40350;34986;34986;
08.06.2023 01:32:30;0;0;0;4908;0;40477;35569;35569;
08.06.2023 01:37:30;0;0;0;3751;0;40048;36296;36296;
08.06.2023 01:42:30;0;0;0;4728;0;40426;35698;35698;
08.06.2023 01:47:30;0;0;0;7749;0;39597;31847;31847;
08.06.2023 01:52:30;0;0;0;5577;0;40904;35326;35326;
08.06.2023 01:57:30;0;0;0;4967;0;41590;36622;36622;
08.06.2023 02:02:30;0;0;0;5758;0;39449;33690;33690;
08.06.2023 02:07:30;0;0;0;6602;0;40339;33736;33736;
08.06.2023 02:12:30;0;0;0;6585;0;39558;32973;32973;
08.06.2023 02:17:30;0;0;0;5745;0;40298;34552;34552;
08.06.2023 02:22:30;0;0;0;5462;0;39910;34446;34446;
08.06.2023 02:27:30;0;0;0;6782;0;40034;33251;33251;
08.06.2023 02:32:30;0;0;0;7535;0;40349;32813;32813;
08.06.2023 02:37:30;0;0;0;7845;0;40288;32442;32442;
08.06.2023 02:42:30;0;0;0;8207;0;41238;33029;33029;
08.06.2023 02:47:30;0;0;0;8281;0;40000;31719;31719;
08.06.2023 02:52:30;0;0;0;8047;0;39605;31557;31557;
08.06.2023 02:57:30;0;0;0;7102;0;40534;33431;33431;
08.06.2023 03:02:30;0;0;0;5165;0;40806;35640;35640;
08.06.2023 03:07:30;0;0;0;8179;0;39807;31627;31627;
08.06.2023 03:12:30;0;0;0;8434;0;38072;29637;29637;
08.06.2023 03:17:30;0;0;0;8684;0;39141;30457;30457;
08.06.2023 03:22:30;0;0;0;10232;0;41086;30853;30853;
08.06.2023 03:27:30;0;0;0;8884;0;40570;31685;31685;
08.06.2023 03:32:30;0;0;0;8161;0;41833;33671;33671;
08.06.2023 03:37:30;0;0;0;8838;0;40652;31813;31813;
08.06.2023 03:42:30;0;0;0;9064;0;41700;32636;32636;
08.06.2023 03:47:30;0;0;0;4323;0;40484;36160;36160;
08.06.2023 03:52:30;0;0;0;2550;0;38426;35875;35875;
08.06.2023 03:57:30;0;0;0;1636;0;39740;38104;38104;
08.06.2023 04:02:30;0;0;0;1532;0;40082;38549;38549;
08.06.2023 04:07:30;0;0;0;5868;0;39315;33446;33446;
08.06.2023 04:12:30;0;0;0;7214;0;40401;33187;33187;
08.06.2023 04:17:30;0;0;0;9352;0;40631;31278;31278;
08.06.2023 04:22:30;0;0;0;8038;0;39608;31569;31569;
08.06.2023 04:27:30;0;0;0;8833;0;40845;32011;32011;
08.06.2023 04:32:30;0;0;0;8544;0;40519;31975;31975;
08.06.2023 04:37:30;0;0;0;7945;0;40244;32298;32298;
08.06.2023 04:42:30;0;0;0;7995;0;38913;30917;30917;
08.06.2023 04:47:30;0;0;0;8056;0;40576;32519;32519;
08.06.2023 04:52:30;0;0;0;6315;0;40746;34430;34430;
08.06.2023 04:57:30;0;0;0;9302;0;41456;32152;32152;
08.06.2023 05:02:30;0;0;0;8201;0;41176;32973;32973;
08.06.2023 05:07:30;0;0;0;8357;0;40969;32611;32611;
08.06.2023 05:12:30;0;0;0;7766;0;40534;32767;32767;
08.06.2023 05:17:30;42;206;0;10345;0;39183;28837;28837;
08.06.2023 05:22:30;272;527;0;10226;0;39644;29417;29417;
08.06.2023 05:27:30;668;862;0;6043;480;40408;34845;34845;
08.06.2023 05:32:30;1163;1246;0;10221;1002;40402;31183;31183;
08.06.2023 05:37:30;1788;1712;0;11601;1669;40684;30752;30752;
08.06.2023 05:42:30;2429;2206;0;11908;2321;40654;31067;31067;
08.06.2023 05:47:30;3050;2752;0;12778;2973;39821;30016;30016;
08.06.2023 05:52:30;3806;3328;0;15245;3676;40733;29163;29163;
08.06.2023 05:57:30;4512;3903;0;14949;4393;40355;29798;29798;
08.06.2023 06:02:30;5171;4446;0;13702;5064;40703;32065;32065;
08.06.2023 06:07:30;5783;4978;0;14913;5696;41613;32397;32397;
08.06.2023 06:12:30;6529;5572;0;17201;6424;40757;29980;29980;
08.06.2023 06:17:30;7389;6291;0;16435;7306;39293;30164;30164;
08.06.2023 06:22:30;8436;7176;0;15582;8290;40473;33181;33181;
08.06.2023 06:27:30;9584;8143;0;19319;9482;40580;30742;30742;
08.06.2023 06:32:30;10883;9228;0;20453;10797;41199;31542;31542;
08.06.2023 06:37:30;12663;10704;0;22785;12478;40969;30661;30661;
08.06.2023 06:42:30;15160;12805;0;23681;15434;39834;31587;31587;
08.06.2023 06:47:30;17947;15182;0;26314;18102;40328;32117;32117;
08.06.2023 06:52:30;20653;17450;0;28800;20941;39339;31479;31479;
08.06.2023 06:57:30;25439;21418;0;32067;25824;40023;33779;33779;
08.06.2023 07:02:30;36702;31097;0;41751;37761;40389;36399;36399;
08.06.2023 07:07:30;39383;33456;0;45248;39446;39895;34094;34094;
08.06.2023 07:12:30;40085;34097;0;46422;39873;39012;32462;32462;
08.06.2023 07:17:30;42499;36033;0;47942;42702;37329;32089;32089;
08.06.2023 07:22:30;46798;39562;0;52417;49305;37046;33933;33933;
08.06.2023 07:27:30;47200;39900;0;51999;51855;36590;36446;36446;
08.06.2023 07:32:30;38309;32492;0;44446;38971;36857;31382;31382;
08.06.2023 07:37:30;29865;25586;0;37185;31524;37140;31479;31479;
08.06.2023 07:42:30;22743;19692;0;28719;23245;36767;31293;31293;
08.06.2023 07:47:30;21516;18679;0;24235;21586;36681;34032;34032;
08.06.2023 07:52:30;21258;18470;0;24295;21074;36020;32799;32799;
08.06.2023 07:57:30;20916;18182;0;26217;21094;36657;31533;31533;
08.06.2023 08:02:30;19886;17325;0;26902;20177;37077;30353;30353;
08.06.2023 08:07:30;19081;16663;0;25822;19538;37058;30774;30774;
08.06.2023 08:12:30;19424;16955;0;24234;19747;36655;32168;32168;
08.06.2023 08:17:30;20792;18102;0;26123;20936;35874;30687;30687;
08.06.2023 08:22:30;24886;21486;0;28295;25055;36780;33540;33540;
08.06.2023 08:27:30;46242;39149;0;50621;48287;37450;35115;35115;
08.06.2023 08:32:30;48756;41117;0;51706;52856;37207;38357;38357;
08.06.2023 08:37:30;83482;70226;0;86458;84672;37047;35261;35261;
08.06.2023 08:42:30;87037;73268;0;88340;84032;36822;32514;32514;
08.06.2023 08:47:30;88785;74712;0;91477;90963;35970;35455;35455;
08.06.2023 08:52:30;89914;75639;0;92676;90155;35644;33122;33122;
08.06.2023 08:57:30;92926;78121;0;95410;95858;35288;35737;35737;
08.06.2023 09:02:30;98739;82871;0;100056;101006;36126;37076;37076;
08.06.2023 09:07:30;75225;63387;0;79751;76560;35644;32452;32452;
08.06.2023 09:12:30;58816;49713;0;65098;65076;35642;35619;35619;
08.06.2023 09:17:30;45421;38575;0;50084;47181;35645;32742;32742;
08.06.2023 09:22:30;50758;43052;0;53670;51492;35642;33465;33465;
08.06.2023 09:27:30;51915;43956;0;54704;54865;35561;35722;35722;
08.06.2023 09:32:30;57477;48598;0;61042;60113;35890;34961;34961;
08.06.2023 09:37:30;68008;57231;0;69715;71102;35648;37036;37036;
08.06.2023 09:42:30;129046;108261;0;130599;126583;35640;31623;31623;
08.06.2023 09:47:30;107540;90234;0;108111;110712;35644;38246;38246;
08.06.2023 09:52:30;100163;83953;0;97698;97259;35644;35204;35204;
08.06.2023 09:57:30;110925;92975;0;111329;111834;35497;36108;36108;
08.06.2023 10:02:30;91574;76979;0;86603;92918;35551;41865;41865;
08.06.2023 10:07:30;122888;103105;0;120161;119556;35818;35213;35213;
08.06.2023 10:12:30;131992;110592;0;134884;132812;35640;33569;33569;
08.06.2023 10:17:30;97114;81661;0;103180;103545;35639;36005;36005;
08.06.2023 10:22:30;114599;96137;0;113609;105344;35323;27057;27057;
08.06.2023 10:27:30;133504;112045;0;138480;128525;35641;25698;25698;
08.06.2023 10:32:30;133115;111691;0;136584;130251;35640;29307;29307;
08.06.2023 10:37:30;132947;111488;0;134946;130563;35291;30908;30908;
08.06.2023 10:42:30;135549;113733;0;138394;140366;35187;37159;37159;
08.06.2023 10:47:30;142917;119814;0;144793;140578;35640;31424;31424;
08.06.2023 10:52:30;121108;101843;0;127258;120929;35975;29646;29646;
08.06.2023 10:57:30;81029;68234;0;81808;79060;34187;31439;31439;
08.06.2023 11:02:30;82383;69481;0;82490;82102;35563;35175;35175;
08.06.2023 11:07:30;98170;82559;0;100478;95277;35641;30441;30441;
08.06.2023 11:12:30;94553;79425;0;96337;91344;35637;30643;30643;
08.06.2023 11:17:30;108292;90849;0;110299;104286;33511;29506;29506;
08.06.2023 11:22:30;97703;82112;0;102141;99485;35636;32980;32980;
08.06.2023 11:27:30;87020;73231;0;90539;87009;35640;32111;32111;
