tkt=300,Temperaturen_in_1 / 10Grad;:Außentemperatur;:Spannung AC;:Spannung DC;:xxx;
08.10.2022 00:04:00;139;0;0;0;
08.10.2022 00:09:00;139;0;0;0;
08.10.2022 00:14:00;139;0;0;0;
08.10.2022 00:19:00;139;0;0;0;
08.10.2022 00:24:00;136;0;0;0;
08.10.2022 00:29:00;136;0;0;0;
08.10.2022 00:34:00;136;0;0;0;
08.10.2022 00:39:00;136;0;0;0;
08.10.2022 00:44:00;136;0;0;0;
08.10.2022 00:49:00;136;0;0;0;
08.10.2022 00:54:00;135;0;0;0;
08.10.2022 00:59:00;135;0;0;0;
08.10.2022 01:04:00;135;0;0;0;
08.10.2022 01:09:00;135;0;0;0;
08.10.2022 01:14:00;135;0;0;0;
08.10.2022 01:19:00;135;0;0;0;
08.10.2022 01:24:00;135;0;0;0;
08.10.2022 01:29:00;135;0;0;0;
08.10.2022 01:34:00;136;0;0;0;
08.10.2022 01:39:00;136;0;0;0;
08.10.2022 01:44:00;135;0;0;0;
08.10.2022 01:49:00;133;0;0;0;
08.10.2022 01:54:00;133;0;0;0;
08.10.2022 01:59:00;133;0;0;0;
08.10.2022 02:04:00;133;0;0;0;
08.10.2022 02:09:00;133;0;0;0;
08.10.2022 02:14:00;133;0;0;0;
08.10.2022 02:19:00;131;0;0;0;
08.10.2022 02:24:00;130;0;0;0;
08.10.2022 02:29:00;130;0;0;0;
08.10.2022 02:34:00;130;0;0;0;
08.10.2022 02:39:00;130;0;0;0;
08.10.2022 02:44:00;130;0;0;0;
08.10.2022 02:49:00;130;0;0;0;
08.10.2022 02:54:00;130;0;0;0;
08.10.2022 02:59:00;130;0;0;0;
08.10.2022 03:04:00;130;0;0;0;
08.10.2022 03:09:00;126;0;0;0;
08.10.2022 03:14:00;121;0;0;0;
08.10.2022 03:19:00;121;0;0;0;
08.10.2022 03:24:00;121;0;0;0;
08.10.2022 03:29:00;121;0;0;0;
08.10.2022 03:34:00;121;0;0;0;
08.10.2022 03:39:00;121;0;0;0;
08.10.2022 03:44:00;122;0;0;0;
08.10.2022 03:49:00;123;0;0;0;
08.10.2022 03:54:00;123;0;0;0;
08.10.2022 03:59:00;123;0;0;0;
08.10.2022 04:04:00;123;0;0;0;
08.10.2022 04:09:00;123;0;0;0;
08.10.2022 04:14:00;123;0;0;0;
08.10.2022 04:19:00;123;0;0;0;
08.10.2022 04:24:00;123;0;0;0;
08.10.2022 04:29:00;123;0;0;0;
08.10.2022 04:34:00;123;0;0;0;
08.10.2022 04:39:00;123;0;0;0;
08.10.2022 04:44:00;123;0;0;0;
08.10.2022 04:49:00;123;0;0;0;
08.10.2022 04:54:00;124;0;0;0;
08.10.2022 04:59:00;124;0;0;0;
08.10.2022 05:04:00;124;0;0;0;
08.10.2022 05:09:00;124;0;0;0;
08.10.2022 05:14:00;124;0;0;0;
08.10.2022 05:19:00;124;0;0;0;
08.10.2022 05:24:00;124;0;0;0;
08.10.2022 05:29:00;124;0;0;0;
08.10.2022 05:34:00;124;0;0;0;
08.10.2022 05:39:00;124;0;0;0;
08.10.2022 05:44:00;125;0;0;0;
08.10.2022 05:49:00;125;0;0;0;
08.10.2022 05:54:00;125;0;0;0;
08.10.2022 05:59:00;125;0;0;0;
08.10.2022 06:04:00;125;0;0;0;
08.10.2022 06:09:00;125;0;0;0;
08.10.2022 06:14:00;126;0;0;0;
08.10.2022 06:19:00;127;0;0;0;
08.10.2022 06:24:00;127;0;0;0;
08.10.2022 06:29:00;127;0;0;0;
08.10.2022 06:34:00;128;0;0;0;
08.10.2022 06:39:00;128;0;0;0;
08.10.2022 06:44:00;128;0;0;0;
08.10.2022 06:49:00;128;0;0;0;
08.10.2022 06:54:00;128;0;0;0;
08.10.2022 06:59:00;128;0;0;0;
08.10.2022 07:04:00;128;0;0;0;
08.10.2022 07:09:00;128;0;0;0;
08.10.2022 07:14:00;128;0;0;0;
