tkt=300,Temperaturen_in_1 / 10Grad;:Außentemperatur;:Spannung AC;:Spannung DC;:xxx;
22.05.2023 11:52:30;228;0;628;0;
22.05.2023 11:57:30;230;0;629;0;
22.05.2023 12:02:30;230;0;628;0;
22.05.2023 12:07:30;230;0;629;0;
22.05.2023 12:12:30;231;0;629;0;
22.05.2023 12:17:30;231;0;628;0;
22.05.2023 12:22:30;231;0;624;0;
22.05.2023 12:27:30;231;0;623;0;
22.05.2023 12:32:30;231;0;619;0;
22.05.2023 12:37:30;231;0;616;0;
22.05.2023 12:42:30;233;0;614;0;
22.05.2023 12:47:30;234;0;613;0;
22.05.2023 12:52:30;234;0;612;0;
22.05.2023 12:57:30;235;0;611;0;
22.05.2023 13:02:30;238;0;609;0;
22.05.2023 13:07:30;238;0;610;0;
22.05.2023 13:12:30;238;0;610;0;
22.05.2023 13:17:30;242;0;609;0;
22.05.2023 13:22:30;242;0;607;0;
22.05.2023 13:27:30;242;0;607;0;
22.05.2023 13:32:30;236;0;605;0;
22.05.2023 13:37:30;234;0;605;0;
22.05.2023 13:42:30;234;0;606;0;
22.05.2023 13:47:30;239;0;604;0;
22.05.2023 13:52:30;251;0;604;0;
22.05.2023 13:57:30;251;0;604;0;
22.05.2023 14:02:30;250;0;605;0;
22.05.2023 14:07:30;246;0;604;0;
22.05.2023 14:12:30;246;0;615;0;
22.05.2023 14:17:30;246;0;617;0;
22.05.2023 14:22:30;246;0;631;0;
22.05.2023 14:27:30;246;0;639;0;
22.05.2023 14:32:30;246;0;649;0;
22.05.2023 14:37:30;247;0;656;0;
22.05.2023 14:42:30;250;0;641;0;
22.05.2023 14:47:30;250;0;629;0;
22.05.2023 14:52:30;249;0;626;0;
22.05.2023 14:57:30;249;0;638;0;
22.05.2023 15:02:30;249;0;649;0;
22.05.2023 15:07:30;249;0;656;0;
22.05.2023 15:12:30;251;0;660;0;
22.05.2023 15:17:30;253;0;659;0;
22.05.2023 15:22:30;253;0;656;0;
22.05.2023 15:27:30;251;0;659;0;
22.05.2023 15:32:30;249;0;660;0;
22.05.2023 15:37:30;249;0;656;0;
22.05.2023 15:42:30;248;0;653;0;
22.05.2023 15:47:30;245;0;645;0;
22.05.2023 15:52:30;245;0;633;0;
22.05.2023 15:57:30;245;0;627;0;
22.05.2023 16:02:30;243;0;629;0;
22.05.2023 16:07:30;243;0;639;0;
22.05.2023 16:12:30;243;0;667;0;
22.05.2023 16:17:30;238;0;656;0;
22.05.2023 16:22:30;231;0;658;0;
22.05.2023 16:27:30;231;0;657;0;
22.05.2023 16:32:30;230;0;652;0;
22.05.2023 16:37:30;218;0;651;0;
22.05.2023 16:42:30;218;0;657;0;
22.05.2023 16:47:30;218;0;660;0;
22.05.2023 16:52:30;216;0;658;0;
22.05.2023 16:57:30;216;0;655;0;
22.05.2023 17:02:30;216;0;657;0;
22.05.2023 17:07:30;214;0;658;0;
22.05.2023 17:12:30;213;0;660;0;
22.05.2023 17:17:30;213;0;665;0;
22.05.2023 17:22:30;213;0;670;0;
22.05.2023 17:27:30;216;0;670;0;
22.05.2023 17:32:30;216;0;673;0;
22.05.2023 17:37:30;216;0;679;0;
22.05.2023 17:42:30;213;0;681;0;
22.05.2023 17:47:30;213;0;687;0;
22.05.2023 17:52:30;213;0;688;0;
22.05.2023 17:57:30;211;0;690;0;
22.05.2023 18:02:30;209;0;688;0;
22.05.2023 18:07:30;209;0;687;0;
22.05.2023 18:12:30;209;0;685;0;
22.05.2023 18:17:30;209;0;682;0;
22.05.2023 18:22:30;209;0;680;0;
22.05.2023 18:27:30;209;0;679;0;
22.05.2023 18:32:30;211;0;678;0;
22.05.2023 18:37:30;213;0;680;0;
22.05.2023 18:42:30;213;0;681;0;
22.05.2023 18:47:30;211;0;681;0;
22.05.2023 18:52:30;209;0;681;0;
22.05.2023 18:57:30;209;0;681;0;
22.05.2023 19:02:30;208;0;686;0;
22.05.2023 19:07:30;206;0;684;0;
22.05.2023 19:12:30;206;0;684;0;
22.05.2023 19:17:30;206;0;680;0;
22.05.2023 19:22:30;211;0;674;0;
22.05.2023 19:27:30;214;0;669;0;
22.05.2023 19:32:30;214;0;663;0;
22.05.2023 19:37:30;211;0;660;0;
22.05.2023 19:42:30;208;0;658;0;
22.05.2023 19:47:30;208;0;658;0;
22.05.2023 19:52:30;207;0;656;0;
22.05.2023 19:57:30;205;0;655;0;
22.05.2023 20:02:30;205;0;657;0;
22.05.2023 20:07:30;205;0;651;0;
