tkt=300,Temperaturen_in_1 / 10Grad;:Außentemperatur;:Spannung AC;:Spannung DC;:xxx;
31.12.2022 00:03:30;112;0;0;0;
31.12.2022 00:08:30;114;0;0;0;
31.12.2022 00:13:30;114;0;0;0;
31.12.2022 00:18:30;114;0;0;0;
31.12.2022 00:23:30;114;0;0;0;
31.12.2022 00:28:30;114;0;0;0;
31.12.2022 00:33:30;114;0;0;0;
31.12.2022 00:38:30;114;0;0;0;
31.12.2022 00:43:30;114;0;0;0;
31.12.2022 00:48:30;114;0;0;0;
31.12.2022 00:53:30;121;0;0;0;
31.12.2022 00:58:30;127;0;0;0;
31.12.2022 01:03:30;127;0;0;0;
31.12.2022 01:08:30;127;0;0;0;
31.12.2022 01:13:30;130;0;0;0;
31.12.2022 01:18:30;130;0;0;0;
31.12.2022 01:23:30;130;0;0;0;
31.12.2022 01:28:30;117;0;0;0;
31.12.2022 01:33:30;116;0;0;0;
31.12.2022 01:38:30;116;0;0;0;
31.12.2022 01:43:30;127;0;0;0;
31.12.2022 01:48:30;136;0;0;0;
31.12.2022 01:53:30;136;0;0;0;
31.12.2022 01:58:30;132;0;0;0;
31.12.2022 02:03:30;122;0;0;0;
31.12.2022 02:08:30;122;0;0;0;
31.12.2022 02:13:30;122;0;0;0;
31.12.2022 02:18:30;135;0;0;0;
31.12.2022 02:23:30;137;0;0;0;
31.12.2022 02:28:30;137;0;0;0;
31.12.2022 02:33:30;137;0;0;0;
31.12.2022 02:38:30;137;0;0;0;
31.12.2022 02:43:30;137;0;0;0;
31.12.2022 02:48:30;136;0;0;0;
31.12.2022 02:53:30;136;0;0;0;
31.12.2022 02:58:30;136;0;0;0;
31.12.2022 03:03:30;136;0;0;0;
31.12.2022 03:08:30;137;0;0;0;
31.12.2022 03:13:30;138;0;0;0;
31.12.2022 03:18:30;138;0;0;0;
31.12.2022 03:23:30;138;0;0;0;
31.12.2022 03:28:30;138;0;0;0;
31.12.2022 03:33:30;138;0;0;0;
31.12.2022 03:38:30;134;0;0;0;
31.12.2022 03:43:30;125;0;0;0;
31.12.2022 03:48:30;125;0;0;0;
31.12.2022 03:53:30;125;0;0;0;
31.12.2022 03:58:30;140;0;0;0;
31.12.2022 04:03:30;142;0;0;0;
31.12.2022 04:08:30;142;0;0;0;
31.12.2022 04:13:30;142;0;0;0;
31.12.2022 04:18:30;142;0;0;0;
31.12.2022 04:23:30;142;0;0;0;
31.12.2022 04:28:30;142;0;0;0;
31.12.2022 04:33:30;142;0;0;0;
31.12.2022 04:38:30;142;0;0;0;
31.12.2022 04:43:30;142;0;0;0;
31.12.2022 04:48:30;143;0;0;0;
31.12.2022 04:53:30;144;0;0;0;
31.12.2022 04:58:30;144;0;0;0;
31.12.2022 05:03:30;143;0;0;0;
31.12.2022 05:08:30;143;0;0;0;
31.12.2022 05:13:30;143;0;0;0;
31.12.2022 05:18:30;143;0;0;0;
31.12.2022 05:23:30;146;0;0;0;
31.12.2022 05:28:30;146;0;0;0;
31.12.2022 05:33:30;146;0;0;0;
31.12.2022 05:38:30;135;0;0;0;
31.12.2022 05:43:30;135;0;0;0;
31.12.2022 05:48:30;135;0;0;0;
31.12.2022 05:53:30;140;0;0;0;
31.12.2022 05:58:30;145;0;0;0;
31.12.2022 06:03:30;145;0;0;0;
31.12.2022 06:08:30;144;0;0;0;
31.12.2022 06:13:30;143;0;0;0;
31.12.2022 06:18:30;143;0;0;0;
31.12.2022 06:23:30;143;0;0;0;
31.12.2022 06:28:30;139;0;0;0;
31.12.2022 06:33:30;139;0;0;0;
31.12.2022 06:38:30;139;0;0;0;
31.12.2022 06:43:30;137;0;0;0;
31.12.2022 06:48:30;137;0;0;0;
31.12.2022 06:53:30;137;0;0;0;
31.12.2022 06:58:30;137;0;0;0;
