tkt=300,Temperaturen_in_1 / 10Grad;:Außentemperatur;:Spannung AC;:Spannung DC;:xxx;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
;0;0;0;0;
24.02.2023 08:53:01;61;-999;-447;0;
24.02.2023 08:58:01;79;0;723;0;
24.02.2023 09:03:01;79;0;713;0;
24.02.2023 09:08:01;79;0;687;0;
