tkt=300,Temperaturen_in_1 / 10Grad;:Außentemperatur;:Spannung AC;:Spannung DC;:xxx;
16.05.2023 00:02:30;99;0;0;0;
16.05.2023 00:07:30;99;0;0;0;
16.05.2023 00:12:30;99;0;0;0;
16.05.2023 00:17:30;97;0;0;0;
16.05.2023 00:22:30;95;0;0;0;
16.05.2023 00:27:30;95;0;0;0;
16.05.2023 00:32:30;95;0;0;0;
16.05.2023 00:37:30;95;0;0;0;
16.05.2023 00:42:30;95;0;0;0;
16.05.2023 00:47:30;95;0;0;0;
16.05.2023 00:52:30;94;0;0;0;
16.05.2023 00:57:30;94;0;0;0;
16.05.2023 01:02:30;94;0;0;0;
16.05.2023 01:07:30;94;0;0;0;
16.05.2023 01:12:30;94;0;0;0;
16.05.2023 01:17:30;94;0;0;0;
16.05.2023 01:22:30;94;0;0;0;
16.05.2023 01:27:30;94;0;0;0;
16.05.2023 01:32:30;94;0;0;0;
16.05.2023 01:37:30;94;0;0;0;
16.05.2023 01:42:30;92;0;0;0;
16.05.2023 01:47:30;92;0;0;0;
16.05.2023 01:52:30;92;0;0;0;
16.05.2023 01:57:30;91;0;0;0;
16.05.2023 02:02:30;91;0;0;0;
16.05.2023 02:07:30;91;0;0;0;
16.05.2023 02:12:30;91;0;0;0;
16.05.2023 02:17:30;93;0;0;0;
16.05.2023 02:22:30;93;0;0;0;
16.05.2023 02:27:30;93;0;0;0;
16.05.2023 02:32:30;93;0;0;0;
16.05.2023 02:37:30;93;0;0;0;
16.05.2023 02:42:30;93;0;0;0;
16.05.2023 02:47:30;93;0;0;0;
16.05.2023 02:52:30;94;0;0;0;
16.05.2023 02:57:30;94;0;0;0;
16.05.2023 03:02:30;93;0;0;0;
16.05.2023 03:07:30;90;0;0;0;
16.05.2023 03:12:30;90;0;0;0;
16.05.2023 03:17:30;90;0;0;0;
16.05.2023 03:22:30;87;0;0;0;
16.05.2023 03:27:30;87;0;0;0;
16.05.2023 03:32:30;87;0;0;0;
16.05.2023 03:37:30;87;0;0;0;
16.05.2023 03:42:30;89;0;0;0;
16.05.2023 03:47:30;89;0;0;0;
16.05.2023 03:52:30;89;0;0;0;
16.05.2023 03:57:30;89;0;0;0;
16.05.2023 04:02:30;89;0;0;0;
16.05.2023 04:07:30;89;0;0;0;
16.05.2023 04:12:30;90;0;0;0;
16.05.2023 04:17:30;91;0;0;0;
16.05.2023 04:22:30;91;0;0;0;
16.05.2023 04:27:30;92;0;0;0;
16.05.2023 04:32:30;94;0;0;0;
16.05.2023 04:37:30;94;0;0;0;
16.05.2023 04:42:30;94;0;0;0;
16.05.2023 04:47:30;94;0;0;0;
16.05.2023 04:52:30;94;0;0;0;
16.05.2023 04:57:30;94;0;0;0;
16.05.2023 05:02:30;94;0;0;0;
16.05.2023 05:07:30;94;0;0;0;
16.05.2023 05:12:30;94;0;0;0;
16.05.2023 05:17:30;94;0;0;0;
16.05.2023 05:22:30;94;0;0;0;
16.05.2023 05:27:30;94;0;0;0;
16.05.2023 05:32:30;94;0;232;0;
16.05.2023 05:37:30;96;0;493;0;
16.05.2023 05:42:30;96;0;512;0;
16.05.2023 05:47:30;96;0;491;0;
16.05.2023 05:52:30;96;0;523;0;
16.05.2023 05:57:30;97;0;540;0;
16.05.2023 06:02:30;97;0;568;0;
16.05.2023 06:07:30;96;0;575;0;
16.05.2023 06:12:30;96;0;604;0;
16.05.2023 06:17:30;96;0;621;0;
16.05.2023 06:22:30;96;0;624;0;
16.05.2023 06:27:30;96;0;622;0;
16.05.2023 06:32:30;96;0;621;0;
16.05.2023 06:37:30;96;0;622;0;
16.05.2023 06:42:30;96;0;623;0;
16.05.2023 06:47:30;96;0;624;0;
16.05.2023 06:52:30;96;0;619;0;
16.05.2023 06:57:30;99;0;619;0;
16.05.2023 07:02:30;106;0;637;0;
16.05.2023 07:07:30;106;0;649;0;
16.05.2023 07:12:30;106;0;657;0;
16.05.2023 07:17:30;108;0;659;0;
16.05.2023 07:22:30;108;0;660;0;
16.05.2023 07:27:30;108;0;662;0;
16.05.2023 07:32:30;110;0;659;0;
16.05.2023 07:37:30;111;0;660;0;
16.05.2023 07:42:30;111;0;661;0;
16.05.2023 07:47:30;111;0;667;0;
16.05.2023 07:52:30;111;0;673;0;
16.05.2023 07:57:30;111;0;675;0;
16.05.2023 08:02:30;111;0;666;0;
16.05.2023 08:07:30;112;0;669;0;
16.05.2023 08:12:30;112;0;673;0;
16.05.2023 08:17:30;112;0;675;0;
16.05.2023 08:22:30;109;0;677;0;
16.05.2023 08:27:30;109;0;675;0;
16.05.2023 08:32:30;109;0;673;0;
16.05.2023 08:37:30;110;0;681;0;
16.05.2023 08:42:30;112;0;681;0;
16.05.2023 08:47:30;112;0;680;0;
16.05.2023 08:52:30;112;0;676;0;
16.05.2023 08:57:30;114;0;676;0;
16.05.2023 09:02:30;114;0;680;0;
16.05.2023 09:07:30;114;0;682;0;
16.05.2023 09:12:30;114;0;681;0;
16.05.2023 09:17:30;114;0;682;0;
16.05.2023 09:22:30;114;0;680;0;
16.05.2023 09:27:30;114;0;677;0;
16.05.2023 09:32:30;114;0;683;0;
16.05.2023 09:37:30;114;0;691;0;
16.05.2023 09:42:30;114;0;691;0;
16.05.2023 09:47:30;115;0;683;0;
16.05.2023 09:52:30;115;0;666;0;
16.05.2023 09:57:30;115;0;662;0;
16.05.2023 10:02:30;115;0;666;0;
16.05.2023 10:07:30;115;0;659;0;
16.05.2023 10:12:30;115;0;664;0;
16.05.2023 10:17:30;115;0;656;0;
16.05.2023 10:22:30;115;0;635;0;
16.05.2023 10:27:30;115;0;646;0;
16.05.2023 10:32:30;115;0;651;0;
16.05.2023 10:37:30;115;0;677;0;
16.05.2023 10:42:30;115;0;683;0;
16.05.2023 10:47:30;115;0;678;0;
16.05.2023 10:52:30;114;0;669;0;
16.05.2023 10:57:30;114;0;676;0;
16.05.2023 11:02:30;114;0;681;0;
16.05.2023 11:07:30;113;0;676;0;
16.05.2023 11:12:30;112;0;666;0;
16.05.2023 11:17:30;112;0;673;0;
16.05.2023 11:22:30;112;0;657;0;
16.05.2023 11:27:30;112;0;668;0;
16.05.2023 11:32:30;112;0;675;0;
16.05.2023 11:37:30;112;0;677;0;
16.05.2023 11:42:30;112;0;688;0;
16.05.2023 11:47:30;112;0;674;0;
16.05.2023 11:52:30;112;0;668;0;
16.05.2023 11:57:30;112;0;664;0;
16.05.2023 12:02:30;112;0;651;0;
16.05.2023 12:07:30;112;0;647;0;
16.05.2023 12:12:30;112;0;681;0;
16.05.2023 12:17:30;112;0;697;0;
16.05.2023 12:22:30;112;0;700;0;
16.05.2023 12:27:30;112;0;701;0;
16.05.2023 12:32:30;109;0;702;0;
16.05.2023 12:37:30;109;0;708;0;
16.05.2023 12:42:30;109;0;711;0;
16.05.2023 12:47:30;109;0;700;0;
16.05.2023 12:52:30;111;0;695;0;
16.05.2023 12:57:30;111;0;678;0;
16.05.2023 13:02:30;111;0;655;0;
16.05.2023 13:07:30;112;0;679;0;
16.05.2023 13:12:30;112;0;681;0;
16.05.2023 13:17:30;112;0;663;0;
16.05.2023 13:22:30;112;0;648;0;
16.05.2023 13:27:30;112;0;643;0;
16.05.2023 13:32:30;112;0;639;0;
16.05.2023 13:37:30;112;0;628;0;
16.05.2023 13:42:30;112;0;623;0;
16.05.2023 13:47:30;112;0;634;0;
16.05.2023 13:52:30;112;0;643;0;
16.05.2023 13:57:30;114;0;666;0;
16.05.2023 14:02:30;114;0;671;0;
16.05.2023 14:07:30;114;0;702;0;
16.05.2023 14:12:30;115;0;711;0;
16.05.2023 14:17:30;116;0;711;0;
16.05.2023 14:22:30;116;0;700;0;
16.05.2023 14:27:30;116;0;690;0;
16.05.2023 14:32:30;118;0;691;0;
16.05.2023 14:37:30;118;0;693;0;
16.05.2023 14:42:30;117;0;690;0;
16.05.2023 14:47:30;115;0;695;0;
16.05.2023 14:52:30;115;0;693;0;
16.05.2023 14:57:30;115;0;687;0;
16.05.2023 15:02:30;113;0;679;0;
16.05.2023 15:07:30;113;0;676;0;
16.05.2023 15:12:30;113;0;686;0;
16.05.2023 15:17:30;113;0;700;0;
16.05.2023 15:22:30;113;0;704;0;
16.05.2023 15:27:30;113;0;697;0;
16.05.2023 15:32:30;112;0;687;0;
16.05.2023 15:37:30;112;0;681;0;
16.05.2023 15:42:30;112;0;684;0;
16.05.2023 15:47:30;112;0;668;0;
16.05.2023 15:52:30;111;0;669;0;
16.05.2023 15:57:30;111;0;671;0;
16.05.2023 16:02:30;111;0;665;0;
16.05.2023 16:07:30;111;0;674;0;
16.05.2023 16:12:30;111;0;683;0;
16.05.2023 16:17:30;111;0;689;0;
16.05.2023 16:22:30;111;0;682;0;
16.05.2023 16:27:30;112;0;685;0;
16.05.2023 16:32:30;112;0;679;0;
16.05.2023 16:37:30;112;0;685;0;
16.05.2023 16:42:30;108;0;688;0;
16.05.2023 16:47:30;107;0;683;0;
16.05.2023 16:52:30;107;0;678;0;
16.05.2023 16:57:30;107;0;672;0;
16.05.2023 17:02:30;107;0;666;0;
16.05.2023 17:07:30;107;0;663;0;
16.05.2023 17:12:30;107;0;664;0;
16.05.2023 17:17:30;107;0;661;0;
16.05.2023 17:22:30;107;0;664;0;
16.05.2023 17:27:30;107;0;665;0;
16.05.2023 17:32:30;107;0;664;0;
16.05.2023 17:37:30;107;0;669;0;
16.05.2023 17:42:30;107;0;678;0;
16.05.2023 17:47:30;107;0;682;0;
16.05.2023 17:52:30;107;0;691;0;
16.05.2023 17:57:30;107;0;690;0;
16.05.2023 18:02:30;107;0;686;0;
16.05.2023 18:07:30;111;0;701;0;
16.05.2023 18:12:30;111;0;702;0;
16.05.2023 18:17:30;111;0;686;0;
16.05.2023 18:22:30;111;0;682;0;
16.05.2023 18:27:30;111;0;669;0;
16.05.2023 18:32:30;111;0;666;0;
16.05.2023 18:37:30;111;0;673;0;
16.05.2023 18:42:30;111;0;689;0;
16.05.2023 18:47:30;111;0;697;0;
16.05.2023 18:52:30;111;0;681;0;
16.05.2023 18:57:30;111;0;672;0;
16.05.2023 19:02:30;111;0;685;0;
16.05.2023 19:07:30;111;0;696;0;
16.05.2023 19:12:30;110;0;685;0;
16.05.2023 19:17:30;110;0;668;0;
16.05.2023 19:22:30;110;0;648;0;
16.05.2023 19:27:30;108;0;643;0;
16.05.2023 19:32:30;107;0;636;0;
16.05.2023 19:37:30;107;0;637;0;
16.05.2023 19:42:30;107;0;650;0;
16.05.2023 19:47:30;107;0;656;0;
16.05.2023 19:52:30;107;0;644;0;
16.05.2023 19:57:30;107;0;632;0;
16.05.2023 20:02:30;107;0;624;0;
16.05.2023 20:07:30;107;0;598;0;
16.05.2023 20:12:30;107;0;591;0;
16.05.2023 20:17:30;107;0;575;0;
16.05.2023 20:22:30;107;0;561;0;
16.05.2023 20:27:30;107;0;554;0;
16.05.2023 20:32:30;107;0;556;0;
16.05.2023 20:37:30;108;0;555;0;
16.05.2023 20:42:30;108;0;546;0;
16.05.2023 20:47:30;108;0;541;0;
16.05.2023 20:52:30;106;0;520;0;
16.05.2023 20:57:30;106;0;494;0;
16.05.2023 21:02:30;106;0;484;0;
16.05.2023 21:07:30;106;0;459;0;
16.05.2023 21:12:30;107;0;435;0;
16.05.2023 21:17:30;107;0;207;0;
16.05.2023 21:22:30;106;0;156;0;
16.05.2023 21:27:30;104;0;131;0;
16.05.2023 21:32:30;104;0;0;0;
16.05.2023 21:37:30;104;0;0;0;
16.05.2023 21:42:30;104;0;0;0;
16.05.2023 21:47:30;104;0;0;0;
16.05.2023 21:52:30;104;0;0;0;
16.05.2023 21:57:30;104;0;0;0;
16.05.2023 22:02:30;104;0;0;0;
16.05.2023 22:07:30;104;0;0;0;
16.05.2023 22:12:30;103;0;0;0;
16.05.2023 22:17:30;102;0;0;0;
16.05.2023 22:22:30;102;0;0;0;
16.05.2023 22:27:30;102;0;0;0;
16.05.2023 22:32:30;95;0;0;0;
16.05.2023 22:37:30;93;0;0;0;
16.05.2023 22:42:30;93;0;0;0;
16.05.2023 22:47:30;93;0;0;0;
16.05.2023 22:52:30;93;0;0;0;
16.05.2023 22:57:30;93;0;0;0;
16.05.2023 23:02:30;92;0;0;0;
16.05.2023 23:07:30;92;0;0;0;
16.05.2023 23:12:30;92;0;0;0;
16.05.2023 23:17:30;92;0;0;0;
16.05.2023 23:22:30;92;0;0;0;
16.05.2023 23:27:30;93;0;0;0;
16.05.2023 23:32:30;93;0;0;0;
16.05.2023 23:37:30;91;0;0;0;
16.05.2023 23:42:30;89;0;0;0;
16.05.2023 23:47:30;89;0;0;0;
16.05.2023 23:52:30;88;0;0;0;
16.05.2023 23:57:30;83;0;0;0;
