tkt=300,Temperaturen_in_1 / 10Grad;:Außentemperatur;:Spannung AC;:Spannung DC;:xxx;
16.11.2022 00:03:30;88;0;0;0;
16.11.2022 00:08:30;87;0;0;0;
16.11.2022 00:13:30;87;0;0;0;
16.11.2022 00:18:30;89;0;0;0;
16.11.2022 00:23:30;97;0;0;0;
16.11.2022 00:28:30;97;0;0;0;
16.11.2022 00:33:30;97;0;0;0;
16.11.2022 00:38:30;99;0;0;0;
16.11.2022 00:43:30;100;0;0;0;
16.11.2022 00:48:30;100;0;0;0;
16.11.2022 00:53:30;100;0;0;0;
16.11.2022 00:58:30;100;0;0;0;
16.11.2022 01:03:30;100;0;0;0;
16.11.2022 01:08:30;100;0;0;0;
16.11.2022 01:13:30;100;0;0;0;
16.11.2022 01:18:30;100;0;0;0;
16.11.2022 01:23:30;100;0;0;0;
16.11.2022 01:28:30;96;0;0;0;
16.11.2022 01:33:30;96;0;0;0;
16.11.2022 01:38:30;96;0;0;0;
16.11.2022 01:43:30;96;0;0;0;
16.11.2022 01:48:30;96;0;0;0;
16.11.2022 01:53:30;96;0;0;0;
16.11.2022 01:58:30;96;0;0;0;
16.11.2022 02:03:30;96;0;0;0;
16.11.2022 02:08:30;96;0;0;0;
16.11.2022 02:13:30;96;0;0;0;
16.11.2022 02:18:30;94;0;0;0;
16.11.2022 02:23:30;94;0;0;0;
16.11.2022 02:28:30;94;0;0;0;
16.11.2022 02:33:30;94;0;0;0;
16.11.2022 02:38:30;94;0;0;0;
16.11.2022 02:43:30;94;0;0;0;
16.11.2022 02:48:30;92;0;0;0;
16.11.2022 02:53:30;89;0;0;0;
16.11.2022 02:58:30;89;0;0;0;
16.11.2022 03:03:30;89;0;0;0;
16.11.2022 03:08:30;90;0;0;0;
16.11.2022 03:13:30;91;0;0;0;
16.11.2022 03:18:30;91;0;0;0;
16.11.2022 03:23:30;91;0;0;0;
16.11.2022 03:28:30;91;0;0;0;
16.11.2022 03:33:30;91;0;0;0;
16.11.2022 03:38:30;89;0;0;0;
16.11.2022 03:43:30;87;0;0;0;
16.11.2022 03:48:30;87;0;0;0;
16.11.2022 03:53:30;87;0;0;0;
16.11.2022 03:58:30;87;0;0;0;
16.11.2022 04:03:30;87;0;0;0;
16.11.2022 04:08:30;87;0;0;0;
16.11.2022 04:13:30;87;0;0;0;
16.11.2022 04:18:30;87;0;0;0;
16.11.2022 04:23:30;87;0;0;0;
16.11.2022 04:28:30;87;0;0;0;
16.11.2022 04:33:30;87;0;0;0;
16.11.2022 04:38:30;87;0;0;0;
16.11.2022 04:43:30;87;0;0;0;
16.11.2022 04:48:30;87;0;0;0;
16.11.2022 04:53:30;87;0;0;0;
16.11.2022 04:58:30;87;0;0;0;
16.11.2022 05:03:30;85;0;0;0;
16.11.2022 05:08:30;85;0;0;0;
16.11.2022 05:13:30;85;0;0;0;
16.11.2022 05:18:30;84;0;0;0;
16.11.2022 05:23:30;84;0;0;0;
16.11.2022 05:28:30;84;0;0;0;
16.11.2022 05:33:30;84;0;0;0;
16.11.2022 05:38:30;84;0;0;0;
16.11.2022 05:43:30;84;0;0;0;
16.11.2022 05:48:30;84;0;0;0;
16.11.2022 05:53:30;89;0;0;0;
16.11.2022 05:58:30;93;0;0;0;
16.11.2022 06:03:30;93;0;0;0;
16.11.2022 06:08:30;93;0;0;0;
16.11.2022 06:13:30;93;0;0;0;
16.11.2022 06:18:30;93;0;0;0;
16.11.2022 06:23:30;93;0;0;0;
16.11.2022 06:28:30;93;0;0;0;
16.11.2022 06:33:30;93;0;0;0;
16.11.2022 06:38:30;93;0;0;0;
16.11.2022 06:43:30;90;0;0;0;
16.11.2022 06:48:30;89;0;0;0;
16.11.2022 06:53:30;89;0;0;0;
16.11.2022 06:58:30;88;0;0;0;
16.11.2022 07:03:30;87;0;0;0;
16.11.2022 07:08:30;87;0;0;0;
16.11.2022 07:13:30;87;0;0;0;
16.11.2022 07:18:30;86;0;135;0;
16.11.2022 07:23:30;86;0;476;0;
16.11.2022 07:28:30;86;0;547;0;
16.11.2022 07:33:30;90;0;620;0;
16.11.2022 07:38:30;94;0;506;0;
16.11.2022 07:43:30;94;0;522;0;
16.11.2022 07:48:30;94;0;546;0;
16.11.2022 07:53:30;97;0;579;0;
16.11.2022 07:58:30;97;0;586;0;
16.11.2022 08:03:30;97;0;587;0;
16.11.2022 08:08:30;97;0;596;0;
16.11.2022 08:13:30;97;0;607;0;
16.11.2022 08:18:30;97;0;612;0;
16.11.2022 08:23:30;97;0;628;0;
16.11.2022 08:28:30;97;0;645;0;
16.11.2022 08:33:30;97;0;666;0;
16.11.2022 08:38:30;97;0;679;0;
16.11.2022 08:43:30;99;0;680;0;
16.11.2022 08:48:30;99;0;676;0;
16.11.2022 08:53:30;99;0;689;0;
16.11.2022 08:58:30;99;0;692;0;
16.11.2022 09:03:30;99;0;688;0;
16.11.2022 09:08:30;99;0;705;0;
16.11.2022 09:13:30;99;0;687;0;
16.11.2022 09:18:30;99;0;678;0;
16.11.2022 09:23:30;99;0;677;0;
16.11.2022 09:28:30;99;0;679;0;
16.11.2022 09:33:30;100;0;681;0;
16.11.2022 09:38:30;100;0;679;0;
16.11.2022 09:43:30;100;0;680;0;
16.11.2022 09:48:30;96;0;692;0;
16.11.2022 09:53:30;96;0;705;0;
16.11.2022 09:58:30;96;0;709;0;
16.11.2022 10:03:30;100;0;705;0;
16.11.2022 10:08:30;104;0;701;0;
16.11.2022 10:13:30;104;0;696;0;
16.11.2022 10:18:30;102;0;689;0;
16.11.2022 10:23:30;97;0;685;0;
16.11.2022 10:28:30;97;0;680;0;
16.11.2022 10:33:30;97;0;677;0;
16.11.2022 10:38:30;106;0;668;0;
16.11.2022 10:43:30;107;0;658;0;
16.11.2022 10:48:30;107;0;672;0;
16.11.2022 10:53:30;109;0;689;0;
16.11.2022 10:58:30;112;0;689;0;
16.11.2022 11:03:30;112;0;684;0;
16.11.2022 11:08:30;113;0;666;0;
16.11.2022 11:13:30;117;0;668;0;
16.11.2022 11:18:30;117;0;656;0;
