tkt=300,Temperaturen_in_1 / 10Grad;:Außentemperatur;:Spannung AC;:Spannung DC;:xxx;
03.11.2022 00:03:30;68;0;0;0;
03.11.2022 00:08:30;66;0;0;0;
03.11.2022 00:13:30;66;0;0;0;
03.11.2022 00:18:30;66;0;0;0;
03.11.2022 00:23:30;66;0;0;0;
03.11.2022 00:28:30;66;0;0;0;
03.11.2022 00:33:30;66;0;0;0;
03.11.2022 00:38:30;66;0;0;0;
03.11.2022 00:43:30;66;0;0;0;
03.11.2022 00:48:30;66;0;0;0;
03.11.2022 00:53:30;66;0;0;0;
03.11.2022 00:58:30;63;0;0;0;
03.11.2022 01:03:30;63;0;0;0;
03.11.2022 01:08:30;63;0;0;0;
03.11.2022 01:13:30;63;0;0;0;
03.11.2022 01:18:30;63;0;0;0;
03.11.2022 01:23:30;63;0;0;0;
03.11.2022 01:28:30;63;0;0;0;
03.11.2022 01:33:30;63;0;0;0;
03.11.2022 01:38:30;63;0;0;0;
03.11.2022 01:43:30;63;0;0;0;
03.11.2022 01:48:30;65;0;0;0;
03.11.2022 01:53:30;66;0;0;0;
03.11.2022 01:58:30;66;0;0;0;
03.11.2022 02:03:30;65;0;0;0;
03.11.2022 02:08:30;65;0;0;0;
03.11.2022 02:13:30;65;0;0;0;
03.11.2022 02:18:30;64;0;0;0;
03.11.2022 02:23:30;63;0;0;0;
03.11.2022 02:28:30;63;0;0;0;
03.11.2022 02:33:30;63;0;0;0;
03.11.2022 02:38:30;65;0;0;0;
03.11.2022 02:43:30;66;0;0;0;
03.11.2022 02:48:30;66;0;0;0;
03.11.2022 02:53:30;55;0;0;0;
03.11.2022 02:58:30;49;0;0;0;
03.11.2022 03:03:30;49;0;0;0;
03.11.2022 03:08:30;48;0;0;0;
03.11.2022 03:13:30;46;0;0;0;
03.11.2022 03:18:30;46;0;0;0;
03.11.2022 03:23:30;46;0;0;0;
03.11.2022 03:28:30;48;0;0;0;
03.11.2022 03:33:30;49;0;0;0;
03.11.2022 03:38:30;49;0;0;0;
03.11.2022 03:43:30;57;0;0;0;
03.11.2022 03:48:30;63;0;0;0;
03.11.2022 03:53:30;63;0;0;0;
03.11.2022 03:58:30;60;0;0;0;
03.11.2022 04:03:30;55;0;0;0;
03.11.2022 04:08:30;55;0;0;0;
03.11.2022 04:13:30;55;0;0;0;
03.11.2022 04:18:30;53;0;0;0;
03.11.2022 04:23:30;53;0;0;0;
03.11.2022 04:28:30;53;0;0;0;
03.11.2022 04:33:30;54;0;0;0;
03.11.2022 04:38:30;55;0;0;0;
03.11.2022 04:43:30;55;0;0;0;
03.11.2022 04:48:30;54;0;0;0;
03.11.2022 04:53:30;53;0;0;0;
03.11.2022 04:58:30;53;0;0;0;
03.11.2022 05:03:30;53;0;0;0;
03.11.2022 05:08:30;54;0;0;0;
03.11.2022 05:13:30;55;0;0;0;
03.11.2022 05:18:30;55;0;0;0;
03.11.2022 05:23:30;53;0;0;0;
03.11.2022 05:28:30;53;0;0;0;
03.11.2022 05:33:30;53;0;0;0;
03.11.2022 05:38:30;51;0;0;0;
03.11.2022 05:43:30;48;0;0;0;
03.11.2022 05:48:30;48;0;0;0;
03.11.2022 05:53:30;48;0;0;0;
03.11.2022 05:58:30;48;0;0;0;
03.11.2022 06:03:30;48;0;0;0;
03.11.2022 06:08:30;48;0;0;0;
03.11.2022 06:13:30;54;0;0;0;
03.11.2022 06:18:30;59;0;0;0;
03.11.2022 06:23:30;59;0;0;0;
03.11.2022 06:28:30;60;0;0;0;
03.11.2022 06:33:30;63;0;0;0;
03.11.2022 06:38:30;63;0;0;0;
03.11.2022 06:43:30;63;0;0;0;
03.11.2022 06:48:30;63;0;0;0;
03.11.2022 06:53:30;63;0;8;0;
03.11.2022 06:58:30;63;0;481;0;
03.11.2022 07:03:30;61;0;525;0;
03.11.2022 07:08:30;60;0;489;0;
03.11.2022 07:13:30;60;0;509;0;
03.11.2022 07:18:30;57;0;544;0;
03.11.2022 07:23:30;51;0;575;0;
03.11.2022 07:28:30;51;0;597;0;
03.11.2022 07:33:30;51;0;632;0;
03.11.2022 07:38:30;52;0;661;0;
03.11.2022 07:43:30;53;0;675;0;
03.11.2022 07:48:30;53;0;685;0;
03.11.2022 07:53:30;61;0;688;0;
03.11.2022 07:58:30;67;0;687;0;
03.11.2022 08:03:30;67;0;693;0;
03.11.2022 08:08:30;67;0;696;0;
03.11.2022 08:13:30;70;0;692;0;
03.11.2022 08:18:30;70;0;696;0;
03.11.2022 08:23:30;70;0;695;0;
03.11.2022 08:28:30;75;0;694;0;
03.11.2022 08:33:30;76;0;698;0;
03.11.2022 08:38:30;76;0;697;0;
03.11.2022 08:43:30;83;0;695;0;
03.11.2022 08:48:30;88;0;695;0;
03.11.2022 08:53:30;88;0;696;0;
03.11.2022 08:58:30;88;0;696;0;
03.11.2022 09:03:30;88;0;698;0;
03.11.2022 09:08:30;88;0;695;0;
03.11.2022 09:13:30;88;0;695;0;
03.11.2022 09:18:30;88;0;697;0;
03.11.2022 09:23:30;89;0;700;0;
03.11.2022 09:28:30;89;0;701;0;
03.11.2022 09:33:30;89;0;700;0;
03.11.2022 09:38:30;89;0;699;0;
03.11.2022 09:43:30;89;0;696;0;
03.11.2022 09:48:30;91;0;698;0;
03.11.2022 09:53:30;100;0;698;0;
03.11.2022 09:58:30;100;0;697;0;
03.11.2022 10:03:30;100;0;699;0;
03.11.2022 10:08:30;84;0;700;0;
03.11.2022 10:13:30;83;0;699;0;
03.11.2022 10:18:30;83;0;698;0;
03.11.2022 10:23:30;83;0;695;0;
03.11.2022 10:28:30;83;0;691;0;
03.11.2022 10:33:30;83;0;689;0;
03.11.2022 10:38:30;87;0;686;0;
03.11.2022 10:43:30;102;0;684;0;
03.11.2022 10:48:30;102;0;685;0;
03.11.2022 10:53:30;102;0;686;0;
03.11.2022 10:58:30;116;0;689;0;
03.11.2022 11:03:30;118;0;693;0;
03.11.2022 11:08:30;118;0;688;0;
03.11.2022 11:13:30;121;0;685;0;
03.11.2022 11:18:30;124;0;687;0;
03.11.2022 11:23:30;124;0;689;0;
03.11.2022 11:28:30;122;0;689;0;
03.11.2022 11:33:30;117;0;688;0;
03.11.2022 11:38:30;117;0;687;0;
03.11.2022 11:43:30;117;0;686;0;
03.11.2022 11:48:30;120;0;686;0;
03.11.2022 11:53:30;121;0;686;0;
03.11.2022 11:58:30;121;0;685;0;
03.11.2022 12:03:30;124;0;684;0;
03.11.2022 12:08:30;127;0;683;0;
03.11.2022 12:13:30;127;0;683;0;
03.11.2022 12:18:30;127;0;684;0;
03.11.2022 12:23:30;130;0;685;0;
03.11.2022 12:28:30;130;0;682;0;
03.11.2022 12:33:30;130;0;681;0;
03.11.2022 12:38:30;131;0;680;0;
03.11.2022 12:43:30;132;0;678;0;
03.11.2022 12:48:30;132;0;677;0;
03.11.2022 12:53:30;133;0;678;0;
03.11.2022 12:58:30;135;0;678;0;
03.11.2022 13:03:30;135;0;676;0;
03.11.2022 13:08:30;135;0;672;0;
03.11.2022 13:13:30;138;0;672;0;
03.11.2022 13:18:30;138;0;674;0;
03.11.2022 13:23:30;138;0;674;0;
03.11.2022 13:28:30;143;0;675;0;
03.11.2022 13:33:30;144;0;676;0;
03.11.2022 13:38:30;144;0;676;0;
03.11.2022 13:43:30;144;0;675;0;
03.11.2022 13:48:30;144;0;674;0;
03.11.2022 13:53:30;144;0;670;0;
03.11.2022 13:58:30;144;0;669;0;
03.11.2022 14:03:30;144;0;668;0;
03.11.2022 14:08:30;144;0;667;0;
03.11.2022 14:13:30;144;0;668;0;
03.11.2022 14:18:30;141;0;671;0;
03.11.2022 14:23:30;141;0;672;0;
03.11.2022 14:28:30;141;0;670;0;
03.11.2022 14:33:30;141;0;668;0;
03.11.2022 14:38:30;141;0;667;0;
03.11.2022 14:43:30;141;0;666;0;
03.11.2022 14:48:30;139;0;666;0;
03.11.2022 14:53:30;135;0;662;0;
03.11.2022 14:58:30;135;0;661;0;
03.11.2022 15:03:30;135;0;660;0;
03.11.2022 15:08:30;132;0;660;0;
03.11.2022 15:13:30;132;0;660;0;
03.11.2022 15:18:30;132;0;659;0;
03.11.2022 15:23:30;132;0;655;0;
03.11.2022 15:28:30;132;0;653;0;
03.11.2022 15:33:30;132;0;651;0;
03.11.2022 15:38:30;132;0;647;0;
03.11.2022 15:43:30;132;0;648;0;
03.11.2022 15:48:30;132;0;644;0;
03.11.2022 15:53:30;132;0;640;0;
03.11.2022 15:58:30;129;0;627;0;
03.11.2022 16:03:30;129;0;619;0;
03.11.2022 16:08:30;129;0;617;0;
03.11.2022 16:13:30;129;0;614;0;
03.11.2022 16:18:30;129;0;604;0;
03.11.2022 16:23:30;129;0;601;0;
03.11.2022 16:28:30;127;0;593;0;
03.11.2022 16:33:30;125;0;565;0;
03.11.2022 16:38:30;125;0;547;0;
03.11.2022 16:43:30;125;0;532;0;
03.11.2022 16:48:30;119;0;514;0;
03.11.2022 16:53:30;119;0;486;0;
03.11.2022 16:58:30;119;0;471;0;
03.11.2022 17:03:30;117;0;480;0;
03.11.2022 17:08:30;116;0;416;0;
03.11.2022 17:13:30;116;0;200;0;
03.11.2022 17:18:30;115;0;142;0;
03.11.2022 17:23:30;115;0;142;0;
03.11.2022 17:28:30;115;0;14;0;
03.11.2022 17:33:30;115;0;0;0;
03.11.2022 17:38:30;115;0;0;0;
03.11.2022 17:43:30;115;0;0;0;
03.11.2022 17:48:30;115;0;0;0;
03.11.2022 17:53:30;114;0;0;0;
03.11.2022 17:58:30;114;0;0;0;
03.11.2022 18:03:30;114;0;0;0;
03.11.2022 18:08:30;113;0;0;0;
03.11.2022 18:13:30;112;0;0;0;
03.11.2022 18:18:30;112;0;0;0;
03.11.2022 18:23:30;112;0;0;0;
03.11.2022 18:28:30;112;0;0;0;
03.11.2022 18:33:30;112;0;0;0;
03.11.2022 18:38:30;112;0;0;0;
03.11.2022 18:43:30;112;0;0;0;
03.11.2022 18:48:30;112;0;0;0;
03.11.2022 18:53:30;112;0;0;0;
03.11.2022 18:58:30;113;0;0;0;
03.11.2022 19:03:30;116;0;0;0;
03.11.2022 19:08:30;116;0;0;0;
03.11.2022 19:13:30;116;0;0;0;
03.11.2022 19:18:30;120;0;0;0;
03.11.2022 19:23:30;121;0;0;0;
03.11.2022 19:28:30;121;0;0;0;
03.11.2022 19:33:30;122;0;0;0;
03.11.2022 19:38:30;124;0;0;0;
03.11.2022 19:43:30;124;0;0;0;
03.11.2022 19:48:30;119;0;0;0;
03.11.2022 19:53:30;106;0;0;0;
03.11.2022 19:58:30;106;0;0;0;
03.11.2022 20:03:30;106;0;0;0;
03.11.2022 20:08:30;107;0;0;0;
03.11.2022 20:13:30;108;0;0;0;
03.11.2022 20:18:30;108;0;0;0;
03.11.2022 20:23:30;105;0;0;0;
