tkt=300,Temperaturen_in_1 / 10Grad;:Außentemperatur;:Spannung AC;:Spannung DC;:xxx;
10.11.2022 00:03:30;111;0;0;0;
10.11.2022 00:08:30;109;0;0;0;
10.11.2022 00:13:30;107;0;0;0;
10.11.2022 00:18:30;107;0;0;0;
10.11.2022 00:23:30;107;0;0;0;
10.11.2022 00:28:30;107;0;0;0;
10.11.2022 00:33:30;107;0;0;0;
10.11.2022 00:38:30;107;0;0;0;
10.11.2022 00:43:30;107;0;0;0;
10.11.2022 00:48:30;107;0;0;0;
10.11.2022 00:53:30;107;0;0;0;
10.11.2022 00:58:30;107;0;0;0;
10.11.2022 01:03:30;107;0;0;0;
10.11.2022 01:08:30;107;0;0;0;
10.11.2022 01:13:30;107;0;0;0;
10.11.2022 01:18:30;107;0;0;0;
10.11.2022 01:23:30;107;0;0;0;
10.11.2022 01:28:30;107;0;0;0;
10.11.2022 01:33:30;105;0;0;0;
10.11.2022 01:38:30;104;0;0;0;
10.11.2022 01:43:30;104;0;0;0;
10.11.2022 01:48:30;104;0;0;0;
10.11.2022 01:53:30;104;0;0;0;
10.11.2022 01:58:30;104;0;0;0;
10.11.2022 02:03:30;104;0;0;0;
10.11.2022 02:08:30;101;0;0;0;
10.11.2022 02:13:30;101;0;0;0;
10.11.2022 02:18:30;101;0;0;0;
10.11.2022 02:23:30;101;0;0;0;
10.11.2022 02:28:30;101;0;0;0;
10.11.2022 02:33:30;101;0;0;0;
10.11.2022 02:38:30;101;0;0;0;
10.11.2022 02:43:30;101;0;0;0;
10.11.2022 02:48:30;101;0;0;0;
10.11.2022 02:53:30;101;0;0;0;
10.11.2022 02:58:30;97;0;0;0;
10.11.2022 03:03:30;97;0;0;0;
10.11.2022 03:08:30;97;0;0;0;
10.11.2022 03:13:30;97;0;0;0;
10.11.2022 03:18:30;97;0;0;0;
10.11.2022 03:23:30;97;0;0;0;
10.11.2022 03:28:30;97;0;0;0;
10.11.2022 03:33:30;97;0;0;0;
